"Boss Altar",-1025,95,-3657
"Boss Altar",-1573,27,-3204
"Boss Altar",-1746,65,-3069
"Boss Altar",-1833,46,-5259
"Boss Altar",-692,73,-1068
"Boss Altar",-711,58,-657
"Boss Altar",-815,44,-5363
"Boss Altar",-911,24,-623
"Boss Altar",1296,19,-4670
"Boss Altar",1332,11,-516
"Boss Altar",1417,100,-1462
"Boss Altar",321,32,-2035
"Boss Altar",471,44,-2912
"Boss Altar",51,68,-485
"Decrepit Sewers Dungeon",-922,65,-1885
"Eldritch Outlook Dungeon",1285,87,-753
"Fallen Factory Dungeon",-1655,81,-2603
"Galleon's Graveyard Dungeon",-582,34,-3496
"Ice Barrows Dungeon",175,76,-671
"Infested Pit Dungeon",-282,35,-1829
"Lost Sanctuary Dungeon",-268,64,-1051
"Mini-Quest - Gather Acacia Logs II",1226,117,-1391
"Mini-Quest - Gather Acacia Logs",630,69,-1978
"Mini-Quest - Gather Avo Logs II",-1836,106,-2906
"Mini-Quest - Gather Avo Logs III",-1739,76,-2469
"Mini-Quest - Gather Avo Logs IV",-1686,76,-2187
"Mini-Quest - Gather Avo Logs",-1710,68,-2802
"Mini-Quest - Gather Bamboo",87,82,-4340
"Mini-Quest - Gather Barley",-539,102,-1306
"Mini-Quest - Gather Bass II",-1729,38,-2067
"Mini-Quest - Gather Bass III",-1829,38,-2223
"Mini-Quest - Gather Bass IV",-1330,35,-2732
"Mini-Quest - Gather Bass",105,46,-4987
"Mini-Quest - Gather Birch Logs",182,68,-1597
"Mini-Quest - Gather Carp II",1070,31,-1423
"Mini-Quest - Gather Carp",1317,75,-1838
"Mini-Quest - Gather Cobalt II",-1277,26,-5528
"Mini-Quest - Gather Cobalt III",190,63,-3986
"Mini-Quest - Gather Cobalt",-896,25,-679
"Mini-Quest - Gather Copper",-563,69,-1547
"Mini-Quest - Gather Dark Logs II",-1066,44,-5156
"Mini-Quest - Gather Dark Logs III",952,47,-3883
"Mini-Quest - Gather Dark Logs",-1253,43,-5385
"Mini-Quest - Gather Decay Roots II",-624,42,-5125
"Mini-Quest - Gather Decay Roots III",-725,44,-5009
"Mini-Quest - Gather Decay Roots",-951,47,-5292
"Mini-Quest - Gather Diamonds II",641,30,-4793
"Mini-Quest - Gather Diamonds III",27,43,-4672
"Mini-Quest - Gather Diamonds IV",369,78,-5070
"Mini-Quest - Gather Diamonds",337,27,-5356
"Mini-Quest - Gather Gold II",833,39,-1282
"Mini-Quest - Gather Gold",424,67,-1275
"Mini-Quest - Gather Granite",-879,112,-1330
"Mini-Quest - Gather Gudgeon",-637,68,-1558
"Mini-Quest - Gather Gylia Fish II",-244,29,-5300
"Mini-Quest - Gather Gylia Fish III",10,27,-5251
"Mini-Quest - Gather Gylia Fish",-131,32,-5115
"Mini-Quest - Gather Hops II",-1793,55,-4938
"Mini-Quest - Gather Hops",-1557,51,-4987
"Mini-Quest - Gather Icefish II",868,40,-3369
"Mini-Quest - Gather Icefish",84,67,-921
"Mini-Quest - Gather Iron II",-433,26,-388
"Mini-Quest - Gather Iron",1067,66,-3363
"Mini-Quest - Gather Jungle Logs II",-685,59,-884
"Mini-Quest - Gather Jungle Logs",-571,63,-738
"Mini-Quest - Gather Kanderstone II",-715,46,-5551
"Mini-Quest - Gather Kanderstone III",-767,45,-5151
"Mini-Quest - Gather Kanderstone",-557,59,-5460
"Mini-Quest - Gather Koi II",-831,24,-410
"Mini-Quest - Gather Koi III",-1299,52,-5194
"Mini-Quest - Gather Koi",-623,23,-531
"Mini-Quest - Gather Light Logs II",-1156,47,-4760
"Mini-Quest - Gather Light Logs III",-941,45,-4896
"Mini-Quest - Gather Light Logs",-1291,43,-4625
"Mini-Quest - Gather Malt II",1427,89,-1607
"Mini-Quest - Gather Malt",1280,78,-1981
"Mini-Quest - Gather Millet II",-1278,45,-4547
"Mini-Quest - Gather Millet III",-733,76,-4494
"Mini-Quest - Gather Millet",-1385,43,-4541
"Mini-Quest - Gather Molten Eel II",1414,159,-5601
"Mini-Quest - Gather Molten Eel III",1199,153,-5239
"Mini-Quest - Gather Molten Eel IV",1407,140,-5076
"Mini-Quest - Gather Molten Eel",1460,30,-5558
"Mini-Quest - Gather Molten Ore II",1394,69,-5609
"Mini-Quest - Gather Molten Ore III",1352,156,-5171
"Mini-Quest - Gather Molten Ore IV",1270,141,-5339
"Mini-Quest - Gather Molten Ore",1229,21,-5470
"Mini-Quest - Gather Oak Logs",-433,68,-1591
"Mini-Quest - Gather Oats II",788,72,-1559
"Mini-Quest - Gather Oats",-48,37,-2500
"Mini-Quest - Gather Pine Logs II",646,78,-5058
"Mini-Quest - Gather Pine Logs III",-1339,114,-2870
"Mini-Quest - Gather Pine Logs",81,54,-5289
"Mini-Quest - Gather Piranhas II",-731,84,-748
"Mini-Quest - Gather Piranhas",-667,63,-637
"Mini-Quest - Gather Rice II",534,29,-5157
"Mini-Quest - Gather Rice III",743,45,-5318
"Mini-Quest - Gather Rice IV",79,45,-4772
"Mini-Quest - Gather Rice",366,31,-5160
"Mini-Quest - Gather Rye II",-1903,57,-5278
"Mini-Quest - Gather Rye",-2191,60,-5416
"Mini-Quest - Gather Salmon II",371,36,-2114
"Mini-Quest - Gather Salmon",220,35,-2131
"Mini-Quest - Gather Sandstone II",1444,89,-2211
"Mini-Quest - Gather Sandstone",1162,76,-1849
"Mini-Quest - Gather Silver II",-915,45,-3809
"Mini-Quest - Gather Silver",-1707,55,-5146
"Mini-Quest - Gather Sorghum II",-1433,72,-2280
"Mini-Quest - Gather Sorghum III",-1757,126,-3330
"Mini-Quest - Gather Sorghum IV",-1838,107,-3282
"Mini-Quest - Gather Sorghum",-1386,124,-3023
"Mini-Quest - Gather Spruce Logs II",-175,67,-923
"Mini-Quest - Gather Spruce Logs",46,68,-813
"Mini-Quest - Gather Trout",53,60,-1547
"Mini-Quest - Gather Wheat",-781,66,-1742
"Mini-Quest - Gather Willow Logs II",223,44,-2047
"Mini-Quest - Gather Willow Logs",16,38,-2203
"Mini-Quest - Slay Ailuropodas",139,58,-4399
"Mini-Quest - Slay Angels",1005,119,-4790
"Mini-Quest - Slay Astrochelys Manis",-1422,139,-3225
"Mini-Quest - Slay Conures",1123,142,-4436
"Mini-Quest - Slay Coyotes",1200,31,-1332
"Mini-Quest - Slay Creatures of Nesaak Forest",82,70,-725
"Mini-Quest - Slay Creatures of the Void",14028,119,-4226
"Mini-Quest - Slay Dead Villagers",762,36,-3890
"Mini-Quest - Slay Dragonlings",1348,125,-4470
"Mini-Quest - Slay Felrocs",-163,34,-4812
"Mini-Quest - Slay Frosted Guards & Cryostone Golems",1423,8,-5448
"Mini-Quest - Slay Hobgoblins",562,27,-5421
"Mini-Quest - Slay Idols",-708,29,-413
"Mini-Quest - Slay Ifrits",1389,157,-5476
"Mini-Quest - Slay Jinkos",549,28,-4996
"Mini-Quest - Slay Lizardmen",-1786,61,-5267
"Mini-Quest - Slay Magma Entities",1266,16,-5329
"Mini-Quest - Slay Mooshrooms",582,67,-1588
"Mini-Quest - Slay Myconids",-984,43,-4637
"Mini-Quest - Slay Orcs",-2002,34,-4653
"Mini-Quest - Slay Pernix Monkeys",-1721,111,-2255
"Mini-Quest - Slay Robots",-1751,72,-2694
"Mini-Quest - Slay Scarabs",982,70,-2073
"Mini-Quest - Slay Skeletons",202,61,-1787
"Mini-Quest - Slay Slimes",-480,69,-707
"Mini-Quest - Slay Spiders",-362,68,-1577
"Mini-Quest - Slay Weirds",-677,43,-4948
"Mini-Quest - Slay Wraiths & Phantasms",-1392,46,-5464
"Nest of the Grootslangs",-1977,63,-5615
"Orphion's Nexus of Light",-732,100,-6412
"Sand-Swept Tomb Dungeon",1428,95,-1830
"The Canyon Colossus",662,49,-4448
"Undergrowth Ruins Dungeon",-635,59,-864
"Underworld Crypt Dungeon",288,16,-1952
