x,y,z
-5660,24,-3234
-2218,65,-4955
-2069,76,-5234
-2012,23,-5030
-1987,23,-5145
-1956,44,-3264
-1925,10,-4780
-1865,21,-4989
-1850,23,-4922
-1842,4,-5113
-1821,70,-4691
-1788,0,-4871
-1764,18,-5444
-1760,38,-2586
-1733,26,-4770
-1702,26,-2522
-1685,26,-5464
-1664,35,-5191
-1629,23,-5159
-1576,27,-3071
-1545,39,-5360
-1412,11,-5115
-1407,95,-2992
-1380,50,-2475
-1371,72,-2656
-1359,19,-5073
-1286,4,-4538
-1286,4,-4512
-1267,4,-4557
-1267,4,-4493
-1241,4,-4557
-1241,4,-4493
-1224,8,-4891
-1222,4,-4538
-1222,4,-4512
-1121,80,-5649
-1095,8,-4960
-1064,99,-5598
-1033,19,-5403
-1024,27,-5309
-976,8,-5460
-970,2,-444
-905,16,-3794
-900,80,-1221
-896,20,-4686
-885,60,-4173
-884,20,-6212
-853,125,-4904
-818,14,-482
-791,22,-6128
-782,36,-634
-761,16,-1902
-751,7,-6176
-739,45,-794
-736,7,-5277
-661,7,-4871
-656,10,-5331
-646,65,-4385
-634,13,-4758
-630,46,-1856
-598,117,-559
-591,67,-1062
-579,33,-832
-569,20,-2049
-544,3,-4668
-536,22,-282
-494,11,-430
-483,51,-588
-475,47,-1333
-471,39,-1751
-454,21,-4941
-442,2,-5459
-437,41,-943
-428,14,-5377
-411,7,-5574
-411,39,-1813
-392,50,-1776
-390,13,-1218
-277,57,-4880
-257,64,-1046
-251,9,-2704
-250,57,-1520
-223,15,-5580
-200,2,-663
-196,40,-1253
-185,29,-2018
-172,41,-783
-171,55,-1668
-171,36,-1216
-167,25,-4858
-166,44,-1006
-164,4,-398
-157,14,-4660
-139,2,-5267
-122,3,-5520
-116,21,-1207
-96,24,-4449
-91,42,-1499
-36,48,-991
-17,49,-860
46,13,-1890
78,11,-5487
191,29,-4656
212,58,-1568
216,47,-924
227,19,-5122
229,38,-4836
239,67,-1237
239,22,-754
240,5,-4597
252,35,-620
269,38,-1780
335,75,-613
371,47,-1343
394,25,-1959
426,20,-2084
430,18,-5070
492,56,-1856
518,37,-5354
520,55,-5302
546,25,-4554
569,16,-1271
611,10,-2079
623,142,-5261
637,142,-5301
646,60,-1080
649,19,-5045
663,6,-2064
677,29,-1633
690,17,-1707
711,47,-4959
732,6,-2836
736,25,-1786
741,54,-4940
763,58,-476
766,25,-5431
777,16,-4776
834,36,-2127
838,6,-1190
869,66,-5062
909,37,-413
982,164,-4338
990,32,-2309
999,10,-2052
1006,50,-1843
1016,63,-5080
1032,138,-5586
1090,60,-673
1092,79,-4706
1099,78,-4709
1101,4,-2870
1127,25,-5329
1143,3,-1533
1193,16,-1887
1283,76,-1118
1356,73,-1117
1429,120,-989
1437,52,-5602
1450,73,-1662
1466,6,-1558
1529,55,-5154
1597,112,-4928
