name,x,y,z
C.S.S Wavebreaker,-1371,39,-2948
C.S.S Wavebreaker,153,40,-3111
Hot Air Balloon,-1571,103,-2915
Hot Air Balloon,756,175,-4402
Lift,1128,105,-1486
Lift,1133,108,-1385
Lift,1184,93,-1621
Lift,1194,33,-1429
Lift,1211,118,-1422
Lift,1295,101,-1467
Lift,1319,94,-1586
Lift,1341,99,-1482
Lift,1386,109,-1371
Seaskipper,-1948,36,-4225
Seaskipper,-1084,36,-3788
Seaskipper,-691,35,-3162
Seaskipper,-518,35,-2679
Seaskipper,-299,36,-2505
Seaskipper,-52,36,-2520
Seaskipper,92,36,-3065
Seaskipper,154,36,-3804
Seaskipper,182,34,-2274
Seaskipper,436,36,-2949
Seaskipper,561,36,-3722
Seaskipper,719,34,-3380
Seaskipper,772,36,-3864
Seaskipper,863,36,-2821
Seaskipper,1080,36,-2540
Seaskipper,1263,35,-4095
Seaskipper,16339,36,15738
The Juggler,-475,49,-4917
