name,x,y,z
Acacia,-338,98,-1045
Acacia,-308,98,-1046
Acacia,-224,98,-1045
Acacia,-188,98,-1044
Acacia,343,60,-3471
Acacia,389,42,-3459
Acacia,389,42,-3453
Acacia,392,42,-3456
Acacia,422,43,-3495
Acacia,440,41,-3540
Acacia,443,41,-3537
Acacia,472,54,-3580
Acacia,480,43,-3546
Acacia,503,45,-3575
Acacia,563,53,-2044
Acacia,567,53,-2067
Acacia,568,65,-1950
Acacia,573,66,-1948
Acacia,576,54,-2060
Acacia,583,79,-1811
Acacia,595,55,-2115
Acacia,598,63,-1973
Acacia,598,63,-1972
Acacia,600,60,-2104
Acacia,615,60,-2113
Acacia,619,60,-2113
Acacia,622,68,-2007
Acacia,622,67,-1959
Acacia,633,65,-2062
Acacia,633,73,-2026
Acacia,636,74,-1962
Acacia,638,80,-1785
Acacia,640,75,-1994
Acacia,641,65,-2120
Acacia,644,65,-2117
Acacia,660,72,-2027
Acacia,671,65,-2086
Acacia,673,74,-2039
Acacia,673,74,-2033
Acacia,675,71,-1644
Acacia,677,65,-2072
Acacia,681,76,-2023
Acacia,683,76,-2047
Acacia,683,76,-2025
Acacia,687,81,-2131
Acacia,694,80,-2038
Acacia,695,80,-2038
Acacia,699,80,-2038
Acacia,705,82,-2048
Acacia,705,82,-2044
Acacia,705,77,-2027
Acacia,713,71,-2082
Acacia,716,71,-2085
Acacia,723,78,-1925
Acacia,726,80,-1909
Acacia,734,78,-1854
Acacia,738,77,-1928
Acacia,748,77,-1830
Acacia,749,77,-1934
Acacia,754,78,-2064
Acacia,758,79,-2105
Acacia,785,74,-1931
Acacia,792,73,-1945
Acacia,797,102,-2193
Acacia,797,102,-2188
Acacia,802,71,-1941
Acacia,815,92,-2160
Acacia,828,74,-1812
Acacia,853,72,-1754
Acacia,1003,87,-1948
Acacia,1119,108,-1414
Acacia,1177,103,-1484
Acacia,1227,78,-1739
Acacia,1233,32,-1497
Acacia,1262,78,-1746
Acacia,1265,118,-1364
Acacia,1267,123,-1295
Acacia,1268,78,-1722
Acacia,1275,119,-1375
Acacia,1288,100,-1502
Acacia,1304,88,-2249
Acacia,1309,122,-1329
Acacia,1320,99,-1486
Acacia,1322,99,-1484
Acacia,1323,32,-1584
Acacia,1336,100,-1459
Acacia,1347,71,-1875
Acacia,1370,32,-1537
Acacia,1392,89,-1907
Avo,-1923,137,-3332
Avo,-1920,137,-3329
Avo,-1892,121,-3147
Avo,-1892,123,-3122
Avo,-1887,121,-3151
Avo,-1872,103,-2913
Avo,-1870,102,-2937
Avo,-1869,120,-3161
Avo,-1866,120,-3157
Avo,-1858,124,-3103
Avo,-1854,124,-3100
Avo,-1846,79,-2803
Avo,-1845,89,-2833
Avo,-1845,74,-2746
Avo,-1842,85,-2819
Avo,-1839,72,-2772
Avo,-1839,72,-2760
Avo,-1836,72,-2752
Avo,-1834,74,-2733
Avo,-1833,72,-2767
Avo,-1832,72,-2774
Avo,-1829,101,-2970
Avo,-1829,103,-2958
Avo,-1828,72,-2755
Avo,-1827,101,-2968
Avo,-1827,103,-2960
Avo,-1826,103,-2971
Avo,-1826,74,-2734
Avo,-1825,116,-2934
Avo,-1825,72,-2767
Avo,-1823,103,-2974
Avo,-1823,103,-2967
Avo,-1820,72,-2796
Avo,-1818,76,-3222
Avo,-1818,72,-2771
Avo,-1817,72,-2793
Avo,-1817,76,-2728
Avo,-1814,121,-2963
Avo,-1812,76,-2737
Avo,-1811,123,-2946
Avo,-1811,120,-2933
Avo,-1803,76,-2739
Avo,-1802,113,-2993
Avo,-1802,113,-2988
Avo,-1802,80,-2177
Avo,-1800,74,-2746
Avo,-1798,124,-2926
Avo,-1790,104,-2911
Avo,-1789,76,-2490
Avo,-1788,75,-2746
Avo,-1786,76,-2155
Avo,-1784,106,-3242
Avo,-1783,112,-3289
Avo,-1783,100,-2920
Avo,-1783,74,-2713
Avo,-1781,73,-2731
Avo,-1779,73,-2729
Avo,-1779,78,-2498
Avo,-1776,73,-2722
Avo,-1776,79,-2480
Avo,-1774,101,-2899
Avo,-1773,74,-2712
Avo,-1773,78,-2506
Avo,-1773,76,-2179
Avo,-1770,74,-2710
Avo,-1768,72,-2738
Avo,-1766,82,-2497
Avo,-1766,82,-2483
Avo,-1765,73,-2690
Avo,-1765,83,-2464
Avo,-1764,82,-2485
Avo,-1764,83,-2470
Avo,-1763,82,-2493
Avo,-1762,84,-2488
Avo,-1762,76,-2191
Avo,-1761,73,-2690
Avo,-1760,84,-2486
Avo,-1759,71,-2731
Avo,-1759,84,-2471
Avo,-1755,73,-2699
Avo,-1755,80,-2508
Avo,-1754,71,-2717
Avo,-1754,84,-2461
Avo,-1753,73,-2697
Avo,-1751,84,-2478
Avo,-1750,76,-2901
Avo,-1750,71,-2889
Avo,-1747,69,-2898
Avo,-1747,81,-2493
Avo,-1747,83,-2469
Avo,-1747,83,-2460
Avo,-1745,81,-2495
Avo,-1740,81,-2457
Avo,-1732,67,-2873
Avo,-1723,76,-2526
Avo,-1720,77,-2496
Avo,-1711,45,-3067
Avo,-1708,45,-3070
Avo,-1704,79,-2136
Avo,-1703,79,-2147
Avo,-1699,79,-2163
Avo,-1697,79,-2129
Avo,-1696,79,-2154
Avo,-1695,79,-2141
Avo,-1689,77,-2186
Avo,-1686,77,-2168
Avo,-1684,76,-2135
Avo,-1676,138,-3309
Avo,-1670,124,-2270
Avo,-1636,125,-2440
Avo,-1636,125,-2436
Avo,-1628,106,-2422
Avo,-1626,109,-2286
Avo,-1605,128,-2428
Avo,-1605,106,-2417
Avo,-1605,106,-2410
Avo,-1596,69,-2969
Avo,-1593,69,-2963
Avo,-1584,73,-3083
Avo,-1571,69,-2888
Avo,-1562,102,-2416
Avo,-1559,76,-2212
Avo,-1558,73,-2731
Avo,-1549,73,-2735
Avo,-1547,61,-3223
Avo,-1547,73,-2737
Avo,-1494,77,-2450
