name,x,y,z
???,157,57,-5513
???,1020,149,-5643
Achper,872,68,-1932
Adigard,806,61,-3353
Adoda,1088,14,-5008
Agitated Citizen,-1759,66,-5517
Ahmsord Child,1105,192,-4545
Alchemist,22,75,-1167
Aldorei Student,-537,151,-4384
Alem,158,81,-374
Almuj Bank Guard,976,84,-1963
Alvin,-318,73,-1468
Amerigo,978,84,-1973
Amira,-605,65,-5447
Anast,-1837,62,-5558
Angry Townsperson,365,70,-1103
Angry Townsperson,403,79,-1104
Anof,-93,34,-5455
Ansei,479,81,-4348
Antrus,14029,119,-4212
Apprentice,721,62,-1463
Ardulf,1011,148,-5645
Argus,-659,44,-3154
Arnod,-1366,43,-4543
Aryn?,-699,8,-354
Asher,-449,73,-1153
Atisun,-1192,46,-5198
Ava,-1849,124,-3081
Ava,-1841,124,-3086
Avos Chief,-1811,134,-3063
Avos Shaman,-1833,126,-3081
Baker,1104,113,-4435
Bandit,1048,83,-2300
Barckan,1119,12,-5003
Barman,115,41,-2172
Basement Dweller,443,57,-1544
Batelu,372,54,-775
Bertil,-1491,70,-2879
Bored Farmer,-824,67,-1910
Brank,933,69,-1849
Bricot,65,42,-4844
Burtur,-1025,47,-5302
Cactus Expert,1029,70,-1835
Caissop,-1802,56,-5190
Calamaro,227,22,-741
Calo,-205,103,-4921
Calo,416,82,-1515
Captain Enduyn,-192,45,-1822
Captain Fenor,380,68,-1570
Captain Kymer,-1991,36,-4658
Captain Lorias,-601,46,-4963
Caras,1077,85,-1613
Celuuse,14047,118,-4205
Challenger Apprentice,464,110,-5560
Challenger Apprentice,465,111,-5579
Challenger Apprentice,477,111,-5578
Challenger Apprentice,477,111,-5560
Chef Hamsey,949,129,-4475
Child,-450,47,-4987
Cikal,-35,68,-5413
Cinfras,770,37,-3881
Colonel Gailard,683,76,-1745
Corkian Jeweler,-1593,69,-2986
Corkian Security Executive,-1392,75,-2839
Corkian Security Overseer,-1504,108,-2881
Corkus Delegate,-1493,70,-2878
Corkus Guard,-1516,84,-2926
Corkus Guard,-1500,71,-2915
Corkus Guard,-1497,71,-2915
Crane Mechanic,1024,113,-4558
Crane Mechanic,1096,102,-4521
Crank,959,44,-4448
Curious Villager,980,92,-5399
Customs Officer,-257,57,-4986
Czytash,258,81,-3914
Dado,-1718,52,-4427
Dalben,883,47,-2872
Damiral,-1938,39,-4260
Damys,-544,113,-4449
Dejol,447,28,-4461
Dereg,-1483,48,-5218
Detective,-448,164,-4380
Detective,-443,165,-4388
Detective,-432,171,-4388
Detective,-431,171,-4383
Detective Hart,-1745,66,-5479
Detective Jackson,-1731,54,-4836
Doan,-257,57,-4984
Dobile,192,7,-5219
Dohstaj,179,7,-5253
Dolem,162,7,-5176
Dorroc,159,7,-5285
Doubiss,-1769,66,-5540
Doug the Scout,-299,72,-1234
Dr. Legendary,-5675,27,-3234
Dr. Picard,103,92,-1200
Drucksh,71,41,-2178
Dumble,-266,81,-1040
Dure,-258,81,-1047
Duri,186,7,-5266
Duvale,-1613,52,-4964
Eagle Tribesman,1410,86,-1610
Edula,1508,46,-5299
Elder Berusia,-1085,7,-5016
Electromagic Expert,-1868,105,-4468
Elf Guard,-462,133,-4460
Elphaba,-1500,48,-5350
Elphaba,419,68,-1534
Eltom Guard,982,109,-5450
Eluzterp,1172,78,-2027
Enkser,828,71,-1636
Enzan,-772,68,-1574
Erisk,-779,8,-437
Event Airship Pilot,401,84,-1529
Excavator Vade,1150,54,-1771
Excited Fan,1030,112,-4545
Explorer,-1139,44,-5490
Farmer Cevalus,-748,68,-1663
Favian,1399,86,-1618
Felim,294,87,-4542
Ferndor,-915,34,-750
Festival Goer,1549,117,-5069
Fiona,-539,107,-4546
Fisherman,-2230,72,-5565
Fisherman,-1448,42,-4892
Flendar,-2,14,-501
Flodur,951,75,-1880
Food for Prisoners,1105,35,-5231
Fredris,157,74,-812
Gana,444,104,-4805
Gavellian Soldier,-1388,45,-5222
Gawrick,-487,52,-4882
General Graken,227,46,-1958
General Lecade,153,79,-5479
Gernald,56,72,-675
Goben,1100,11,-5003
Govid,157,7,-5256
Gracen,-753,80,-663
Grandmaster Shaman,-1579,149,-3313
Grandon,-901,32,-749
Gravestone,-343,55,-4880
Gregor,722,71,-2097
Grenot,676,79,-5020
Guard,-466,168,-4382
Guild Master,-294,47,-4939
Gyran,-867,63,-740
Haba,25128,19,23752
Haily,930,76,-1903
Hallfred,993,39,-3501
Hans,-1096,43,-5384
Harv,67,23,-2176
Help Wanted,1108,109,-4555
Hermit,1153,93,-1586
Hilan,971,147,-5466
