name,x,y,z
Alchemism Station,-2011,80,-4450
Alchemism Station,-1850,66,-4515
Alchemism Station,-1752,69,-5506
Alchemism Station,-1574,71,-2960
Alchemism Station,-1417,46,-4709
Alchemism Station,-1030,45,-4989
Alchemism Station,-1017,49,-5318
Alchemism Station,-880,81,-949
Alchemism Station,-822,71,-1587
Alchemism Station,-756,85,-656
Alchemism Station,-556,51,-1933
Alchemism Station,-483,50,-4947
Alchemism Station,-195,31,-323
Alchemism Station,-21,78,-1133
Alchemism Station,100,69,-3155
Alchemism Station,104,42,-2191
Alchemism Station,116,76,-780
Alchemism Station,208,32,-5223
Alchemism Station,456,70,-1592
Alchemism Station,647,65,-2095
Alchemism Station,735,155,-4480
Alchemism Station,821,76,-1589
Alchemism Station,897,125,-5581
Alchemism Station,900,70,-1948
Alchemism Station,1008,78,-682
Alchemism Station,1011,115,-4533
Alchemism Station,1077,21,-5130
Alchemism Station,1294,34,-1241
Alchemism Station,1460,45,-5269
Armour Merchant,-1871,55,-4571
Armour Merchant,-1776,68,-5532
Armour Merchant,-1771,68,-5534
Armour Merchant,-1646,71,-2921
Armour Merchant,-1645,71,-2922
Armour Merchant,-1645,71,-2920
Armour Merchant,-1644,71,-2921
Armour Merchant,-1643,68,-2913
Armour Merchant,-1643,71,-2911
Armour Merchant,-1021,49,-5294
Armour Merchant,-1020,48,-5296
Armour Merchant,-869,69,-1557
Armour Merchant,-865,69,-1561
Armour Merchant,-832,80,-894
Armour Merchant,-627,40,-3085
Armour Merchant,-621,55,-3078
Armour Merchant,-467,51,-4922
Armour Merchant,-451,51,-4917
Armour Merchant,-449,53,-4923
Armour Merchant,-449,53,-4921
Armour Merchant,89,75,-822
Armour Merchant,100,76,-813
Armour Merchant,101,76,-814
Armour Merchant,137,68,-3161
Armour Merchant,147,44,-2153
Armour Merchant,236,33,-5225
Armour Merchant,237,33,-5226
Armour Merchant,237,33,-5224
Armour Merchant,238,33,-5225
Armour Merchant,250,31,-5225
Armour Merchant,457,69,-1613
Armour Merchant,462,70,-1606
Armour Merchant,463,70,-1607
Armour Merchant,738,75,-2106
Armour Merchant,761,81,-5033
Armour Merchant,762,82,-5036
Armour Merchant,765,82,-5031
Armour Merchant,795,60,-3343
Armour Merchant,796,60,-3344
Armour Merchant,798,59,-3334
Armour Merchant,801,61,-3333
Armour Merchant,928,112,-4546
Armour Merchant,930,110,-4544
Armour Merchant,947,119,-4582
Armour Merchant,955,112,-4546
Armour Merchant,979,85,-1992
Armour Merchant,991,38,-3478
Armour Merchant,994,40,-3478
Armour Merchant,996,112,-4546
Armour Merchant,1084,14,-5095
Armour Merchant,1084,14,-5092
Armour Merchant,1092,15,-5175
Armour Merchant,1095,15,-5099
Armour Merchant,1097,15,-5184
Armour Merchant,1100,15,-5183
Armour Merchant,1102,14,-5099
Armour Merchant,1102,14,-5095
Armour Merchant,1105,14,-5177
Armour Merchant,1105,14,-5173
Armour Merchant,1254,34,-1349
Armour Merchant,1255,33,-1357
Armour Merchant,1255,34,-1350
Armour Merchant,1255,34,-1348
Armour Merchant,1256,34,-1349
Armouring Station,-2014,79,-4493
Armouring Station,-1765,68,-5526
Armouring Station,-1608,70,-2959
Armouring Station,-1407,45,-4715
Armouring Station,-1051,44,-4986
Armouring Station,-1011,48,-5322
Armouring Station,-867,69,-1564
Armouring Station,-851,78,-921
Armouring Station,-732,92,-632
Armouring Station,-547,50,-1918
Armouring Station,-460,51,-4932
Armouring Station,-141,98,-4387
Armouring Station,-137,98,-4398
Armouring Station,-7,77,-1191
Armouring Station,99,75,-817
Armouring Station,126,46,-2138
Armouring Station,132,68,-3167
Armouring Station,237,31,-5234
Armouring Station,475,69,-1600
Armouring Station,732,72,-2103
Armouring Station,738,63,-1477
Armouring Station,740,152,-4464
Armouring Station,763,81,-5036
Armouring Station,883,124,-5576
Armouring Station,938,69,-1959
Armouring Station,992,75,-662
Armouring Station,1006,114,-4537
Armouring Station,1053,20,-5147
Armouring Station,1254,33,-1346
Armouring Station,1320,37,-4098
Armouring Station,1417,66,-5264
Blacksmith,-2005,81,-4462
Blacksmith,-2003,79,-4484
Blacksmith,-1971,79,-4483
Blacksmith,-1763,70,-5520
Blacksmith,-1604,71,-2915
Blacksmith,-1602,41,-2369
Blacksmith,-1479,46,-4747
Blacksmith,-1435,46,-4730
Blacksmith,-1431,44,-4734
Blacksmith,-1431,46,-4729
Blacksmith,-1427,46,-4730
Blacksmith,-1146,69,-2405
Blacksmith,-982,51,-5282
Blacksmith,-868,124,-4921
Blacksmith,-858,69,-1549
Blacksmith,-853,79,-919
Blacksmith,-850,78,-917
Blacksmith,-847,123,-4916
Blacksmith,-833,67,-1580
Blacksmith,-833,69,-1586
Blacksmith,-833,71,-1582
Blacksmith,-825,71,-1495
Blacksmith,-727,94,-636
Blacksmith,-727,104,-6444
Blacksmith,-719,69,-1020
Blacksmith,-683,39,-3163
Blacksmith,-657,41,-3074
Blacksmith,-657,42,-3060
Blacksmith,-628,42,-3046
Blacksmith,-620,93,-1416
Blacksmith,-618,57,-3056
