name,x,y,z
Ahmsord Bank,1073,111,-4560
Ahmsord Bank,1073,111,-4538
Ahmsord Bank,1081,111,-4560
Ahmsord Bank,1081,111,-4538
Ahmsord Bank,1090,110,-4549
Almuj Bank,1013,102,-1961
Almuj Bank,1013,102,-1954
Armour Shop,-1869,54,-4575
Armour Shop,-1869,54,-4567
Armour Shop,-875,71,-1566
Armour Shop,-874,71,-1567
Armour Shop,-846,79,-899
Armour Shop,-845,79,-900
Armour Shop,-845,79,-898
Armour Shop,-844,79,-899
Armour Shop,-643,53,-3047
Armour Shop,-628,39,-3082
Armour Shop,-623,53,-3078
Armour Shop,-622,53,-3077
Armour Shop,-620,39,-3068
Armour Shop,132,68,-3165
Armour Shop,145,44,-2176
Armour Shop,146,44,-2177
Armour Shop,146,44,-2175
Armour Shop,147,44,-2176
Bank,-729,100,-6453
Bucie Bank,-1449,48,-4731
Bucie Bank,-1449,48,-4721
Budget Store,942,76,-1881
Budget Store,942,76,-1878
Cinfras Bank,-441,51,-4934
Cinfras Bank,-440,51,-4935
Corkus City Bank,-1612,70,-2907
Corkus City Bank,-1612,74,-2904
Corkus City Bank,-1612,70,-2901
Corkus City Bank,-1601,74,-2896
Corkus City Bank,-1596,69,-2911
Corkus City Bank,-1593,73,-2915
Corkus City Bank,-1593,77,-2892
Corkus City Bank,-1590,69,-2911
Corkus City Bank,-1585,74,-2896
Corkus City Bank,-1574,70,-2907
Corkus City Bank,-1574,74,-2904
Corkus City Bank,-1574,70,-2901
Craftmas Island Bank,1138,44,-3118
Craftmas Island Bank,1140,41,-3110
Craftmas Island Bank,1141,41,-3111
Craftmas Island Bank,1143,41,-3111
Craftmas Island Bank,1144,41,-3110
Craftmas Island Bank,1147,44,-3113
Detlas Bank,473,71,-1568
Detlas Bank,474,71,-1569
Dungeon Shop,-922,67,-1877
Dungeon Shop,-592,40,-3552
Dungeon Shop,-169,67,-1836
Dungeon Shop,-168,67,-1835
Dungeon Shop,-167,67,-1836
Dungeon Shop,167,80,-664
Dungeon Shop,168,80,-665
Dungeon Shop,169,80,-664
Dungeon Shop,284,16,-1946
Dungeon Shop,1301,91,-749
Dungeon Shop,1411,97,-1838
Eltom Bank,930,118,-5481
Eltom Bank,931,118,-5482
Eltom Bank,932,118,-5481
Explosives Shop,-202,49,-295
Explosives Shop,-201,49,-296
Explosives Shop,-200,49,-295
Explosives Shop,-194,29,-315
Explosives Shop,-194,47,-294
Gelibord Bank,-1025,48,-5316
Gelibord Bank,-1020,48,-5316
Guild Bank,-304,50,-4975
Kandon-Beda Bank,734,147,-4503
Kandon-Beda Bank,734,151,-4488
Kandon-Beda Bank,741,148,-4483
Kandon-Beda Bank,742,148,-4484
Kandon-Beda Bank,742,153,-4476
Kandon-Beda Bank,743,151,-4496
Kandon-Beda Bank,748,150,-4500
Kandon-Beda Bank,748,150,-4492
Kandon-Beda Bank,749,150,-4501
Kandon-Beda Bank,749,150,-4499
Kandon-Beda Bank,749,150,-4493
Kandon-Beda Bank,749,150,-4491
Kandon-Beda Bank,750,150,-4500
Kandon-Beda Bank,750,150,-4492
Llevigar Bank,-2003,79,-4445
Llevigar Bank,-1993,79,-4445
Lusuco Bank,-211,31,-316
Lusuco Bank,-210,31,-317
Lusuco Bank,-209,31,-316
Maex Bank,1472,48,-5293
Maex Bank,1473,48,-5292
Maex Bank,1474,48,-5293
Maex Bank,1482,48,-5303
Maex Bank,1482,48,-5301
Maex Bank,1483,48,-5302
Mask Shop,-589,92,-1426
Mask Shop,-588,92,-1427
Mask Shop,-588,92,-1425
Nesaak Bank,101,77,-847
Nesaak Bank,101,77,-845
Nesaak Bank,102,77,-846
Nodguj Bank,791,63,-3344
Nodguj Bank,792,63,-3343
Nodguj Bank,793,63,-3344
Olux Bank,-1755,72,-5534
Olux Bank,-1743,72,-5546
Olux Bank,-1743,72,-5522
Olux Bank,-1731,72,-5534
Pink Wool Shop,1324,34,-1281
Pink Wool Shop,1325,34,-1282
Pink Wool Shop,1326,34,-1281
Pirate Cove Bank,-719,40,-3095
Pirate Cove Bank,-719,40,-3091
Pirate Cove Bank,-718,55,-3093
Pirate Cove Bank,-710,40,-3096
Pirate Cove Bank,-710,40,-3090
Pirate Cove Bank,-708,39,-3104
Pirate Cove Bank,-708,39,-3082
Pirate Cove Bank,-705,39,-3101
Pirate Cove Bank,-705,39,-3084
Pirate Cove Bank,-703,55,-3095
Pirate Cove Bank,-703,55,-3091
Pirate Cove Bank,-683,54,-3101
Pirate Cove Bank,-678,53,-3084
Pirate Cove Bank,-669,39,-3085
Pirate Cove Bank,-646,53,-3076
Pirate Cove Bank,-630,51,-3105
Potion Shop,-1993,35,-4582
Potion Shop,-1888,50,-4561
Potion Shop,-1878,56,-4557
Potion Shop,-1878,61,-4547
Potion Shop,-1874,56,-4557
Potion Shop,-1874,61,-4547
Potion Shop,-1732,68,-5495
Potion Shop,-1731,68,-5496
Potion Shop,-1731,68,-5494
Potion Shop,-1730,68,-5495
Potion Shop,-1638,71,-2931
Potion Shop,-1637,71,-2932
Potion Shop,-1637,71,-2930
Potion Shop,-1636,71,-2931
Potion Shop,-1621,71,-2946
Potion Shop,-1471,46,-4730
Potion Shop,-1467,46,-4729
Potion Shop,-1463,46,-4730
Potion Shop,-1167,67,-2385
Potion Shop,-1166,67,-2384
Potion Shop,-1014,49,-5290
Potion Shop,-893,60,-1883
Potion Shop,-871,79,-938
Potion Shop,-870,79,-939
Potion Shop,-864,60,-6010
Potion Shop,-863,60,-6011
Potion Shop,-863,60,-6009
Potion Shop,-862,60,-6010
Potion Shop,-826,69,-1583
Potion Shop,-822,69,-1583
Potion Shop,-735,100,-6443
Potion Shop,-661,39,-3048
Potion Shop,-658,37,-3108
Potion Shop,-642,54,-3046
Potion Shop,-641,38,-3064
Potion Shop,-633,52,-3082
Potion Shop,-630,39,-3053
Potion Shop,-628,52,-3101
Potion Shop,-623,42,-3129
Potion Shop,-622,41,-3064
Potion Shop,-621,41,-3065
Potion Shop,-621,56,-3064
Potion Shop,-621,41,-3063
Potion Shop,-620,56,-3065
Potion Shop,-620,41,-3064
Potion Shop,-620,56,-3063
Potion Shop,-619,56,-3064
Potion Shop,-612,90,-1437
Potion Shop,-611,90,-1436
Potion Shop,-610,90,-1437
Potion Shop,-481,50,-4950
Potion Shop,-199,31,-321
Potion Shop,-198,31,-322
Potion Shop,-198,31,-320
Potion Shop,98,68,-3175
Potion Shop,110,76,-778
Potion Shop,111,76,-779
Potion Shop,112,43,-2194
Potion Shop,113,43,-2193
Potion Shop,177,77,-674
Potion Shop,178,77,-675
Potion Shop,178,77,-673
Potion Shop,211,30,-5219
Potion Shop,227,33,-5225
Potion Shop,228,33,-5226
Potion Shop,228,33,-5224
Potion Shop,229,33,-5225
Potion Shop,284,16,-1958
Potion Shop,448,68,-1588
Potion Shop,458,70,-1595
Potion Shop,865,47,-2864
Potion Shop,923,70,-1957
Potion Shop,926,116,-5489
Potion Shop,995,80,-677
Potion Shop,996,80,-678
Potion Shop,996,80,-676
Potion Shop,1088,109,-4549
Potion Shop,1093,15,-5198
Potion Shop,1097,15,-5198
Potion Shop,1109,107,-4545
Potion Shop,1118,107,-4549
Potion Shop,1270,33,-1325
Potion Shop,1271,33,-1326
Potion Shop,1271,33,-1324
Potion Shop,1272,33,-1325
Potion Shop,1281,91,-749
Potion Shop,1411,97,-1824
Potion Shop,1478,46,-5275
Pottery Shop,1465,48,-5328
Ragni Bank,-875,70,-1586
Ragni Bank,-874,70,-1585
Ragni Bank,-857,70,-1586
Ragni Bank,-856,70,-1587
Ragni Bank,-856,70,-1585
Ragni Bank,-855,70,-1586
Rodoroc Bank,1019,19,-5140
Rodoroc Bank,1019,19,-5130
Rymek Bank,1269,32,-1346
Rymek Bank,1277,32,-1333
Rymek Bank,1293,32,-1277
Rymek Bank,1294,32,-1329
Rymek Bank,1298,32,-1295
Rymek Bank,1307,32,-1339
Rymek Bank,1325,32,-1313
Rymek Bank,1338,32,-1294
Rymek Bank,1339,32,-1313
Scroll Shop,-2131,56,-4559
Scroll Shop,-2130,56,-4560
Scroll Shop,-2130,56,-4558
Scroll Shop,-2129,56,-4559
Scroll Shop,-2108,50,-4561
Scroll Shop,-1726,68,-5526
Scroll Shop,-1725,68,-5527
Scroll Shop,-1630,68,-2909
Scroll Shop,-1621,71,-2910
Scroll Shop,-1620,71,-2911
Scroll Shop,-1620,71,-2909
Scroll Shop,-1619,71,-2910
Scroll Shop,-1435,46,-4722
Scroll Shop,-1431,46,-4723
