name,x,y,z
Accessory Merchant,-1702,38,-2331
Accessory Merchant,-1407,43,-4738
Accessory Merchant,-580,61,-5443
Accessory Merchant,-249,72,-1409
Accessory Merchant,-174,101,-4421
Accessory Merchant,176,7,-5194
Accessory Merchant,891,123,-5591
Accessory Merchant,1261,32,-1274
Accessory Merchant,1517,47,-5284
Accessory Merchant,7960,26,5116
Apple Merchant,1304,32,-1252
Art Merchant,-227,57,-4982
Artefact Merchant,-895,43,-4525
Black Market Merchant,989,68,-1919
Boat Merchant,-266,34,-4040
Book Merchant,157,7,-5209
Bowl Merchant,-292,72,-1377
Brew-it-Yourself Merchant,-580,38,-2788
Bronze Rewards Merchant,-1082,66,-2410
Bucket Merchant,-805,67,-1924
Bucket Merchant,-805,67,-1919
Candy Merchant,6717,39,4428
Cauldron Merchant,6763,39,4435
Charmcrafter Merchant,-1093,42,-5029
Charmcrafter Merchant,-771,95,-627
Collectibles Merchant,-287,103,-4406
Collector Merchant,-235,57,-4985
Confectionary Merchant,-252,57,-4955
Craftmas Merchant,1150,61,-3139
Diamond Rewards Merchant,-1075,66,-2374
Diamond Rewards Merchant,-1071,66,-2378
Egg Merchant,-538,59,-1830
Egg Merchant,1304,32,-1268
Explosives Merchant,-201,46,-282
Fabrics Merchant,1288,32,-1252
Feather Merchant,1296,32,-1234
Fish Merchant,84,74,-819
Fish Merchant,95,73,-793
Food Merchant,-159,131,-4951
Food Merchant,-145,131,-4951
Galleon's Key Merchant,-584,40,-3541
Gift Merchant,1603,83,-5095
Glassblowing Merchant,924,61,-1979
Gold Rewards Merchant,-1067,66,-2395
Golden Fish Merchant,-689,39,-3068
Hive Air Merchant,344,21,-5530
Hive Earth Merchant,343,17,-5549
Hive Fire Merchant,343,9,-5589
Hive Thunder Merchant,344,29,-5500
Hive Water Merchant,343,13,-5568
Hook Merchant,-643,41,-3178
Horse Merchant,-1483,43,-4715
Horse Merchant,852,70,-1633
Ingredient Merchant,1487,45,-5259
Key Forge Merchant,-873,122,-4914
King's Merchant,-426,48,-4936
Legendary Merchant,-5675,26,-3247
Literature Merchant,1020,112,-4534
Magical Book Merchant,6749,39,4427
Mask Merchant,-580,89,-1426
Master Armour Merchant,334,5,-5613
Master Trinket Merchant,343,5,-5613
Master Weapon Merchant,340,5,-5623
Medicinal Merchant,-1029,42,-4992
Melon? Merchant,181,7,-5288
Miner Pass Merchant,1535,62,-5343
Mushroom Merchant,-21,74,-1174
Mushroom Merchant,1288,32,-1260
Mysterious Merchant,-290,44,-1146
Mysterious Merchant,946,74,-661
Nameless Merchant,1063,107,-819
Necromancy Merchant,158,7,-5195
Pink Wool Merchant,1329,31,-1272
