name,x,y,z
Abandoned Farm,-493,106,-1348
Abandoned Manor,-856,49,-5174
Abandoned Pass,961,38,-1261
Active Volcano,1316,10,-5455
Ahmsord,1009,114,-4568
Ahmsord Outskirts,1257,128,-4808
Air Temple Lower,496,33,-4950
Air Temple Upper,452,109,-4765
Aldorei Lowlands,-275,37,-4705
Aldorei Valley Lower,-634,95,-4446
Aldorei Valley Mid,-525,104,-4471
Aldorei Valley South Entrance,-177,39,-4576
Aldorei Valley Upper,-390,72,-4605
Aldorei Valley West Entrance,-737,84,-4442
Aldorei's Arch,74,45,-4447
Aldorei's North Exit,-55,40,-4575
Aldorei's River,-381,37,-4723
Aldorei's Waterfall,-282,56,-4596
Almuj City,884,69,-1956
Ancient Nemract,224,47,-1956
Angel Refuge,1385,61,-4810
Astraulus' Tower,1206,128,-4922
Avos Temple,-1509,137,-3302
Avos Workshop,-1789,111,-3280
Azure Frontier,-777,85,-6250
Bandit Camp Exit,260,81,-4931
Bandit Cave Lower,118,45,-4975
Bandit Cave Upper,117,45,-4886
Bandits Toll,424,80,-5052
Bizarre Passage,1321,88,-661
Bloody Beach,-1209,39,-3345
Bob's Tomb,254,78,-755
Bremminglar,713,72,-2102
Burning Airship,77,45,-4910
Burning Farm,74,44,-4826
Canyon Dropoff,303,102,-4439
Canyon Entrance Waterfall,178,82,-4775
Canyon Fortress,325,62,-4681
Canyon High Path,497,29,-5248
Canyon Lower South East,233,96,-4588
Canyon Mountain East,302,97,-4999
Canyon Mountain South,334,67,-4921
Canyon Of The Lost,464,30,-4469
Canyon Path North Mid,210,81,-4785
Canyon Path North West,112,77,-4692
Canyon Path South East,115,77,-4649
Canyon Path South East,155,73,-4639
Canyon Path South West,222,82,-4712
Canyon Survivor,305,116,-4535
Canyon Upper North West,215,108,-4467
Canyon Valley South,229,81,-5000
Canyon Walk Way,316,32,-5110
Canyon Waterfall Mid North,286,71,-4798
Canyon Waterfall North,152,71,-4418
Cathedral Harbour,488,50,-2091
Central Islands,1192,55,-4667
Chained House,661,92,-5327
Cherry Blossom Forest,604,100,-5487
Cinfras,-463,49,-4947
Cinfras County Lower,-75,39,-4698
Cinfras County Mid-Lower,-13,41,-4845
Cinfras County Mid-Upper,-52,42,-4986
Cinfras County Upper,-76,36,-5097
Cinfras Entrance,-562,48,-4943
Cinfras Outskirts,-455,45,-5204
Cinfras Thanos Transition,69,46,-4990
Cinfras's Small Farm,-174,39,-4713
City of Troms,-812,72,-919
Cliff Side of the Lost,371,58,-4444
Cliffside Lake,554,30,-4645
Cliffside Passage,637,56,-4762
Cliffside Passage North,591,51,-4899
Cliffside Valley,502,30,-4997
Cliffside Waterfall,520,31,-5122
Coastal Trail,-643,39,-2026
Corkus Castle,-1472,112,-2910
Corkus City,-1610,70,-2936
Corkus City Mine,-1414,87,-2792
Corkus City South,-1616,70,-2776
Corkus Countryside,-1590,74,-3100
Corkus Docks,-1912,42,-3134
Corkus Forest North,-1714,64,-2911
Corkus Forest South,-1721,70,-2798
Corkus Mountain,-1799,129,-3085
Corkus Outskirts,-1425,135,-3150
Corkus Sea Cove,-1490,71,-2619
Corkus Sea Port,-1560,100,-2400
Corkus Statue,-1347,110,-2883
Corrupted Road,57,71,-1318
Crater Descent,1326,12,-5139
Dark Forest Cinfras Transition,-348,37,-5203
Dark Forest Village,-608,45,-5168
Dead Island North East,887,50,-3968
Dead Island North West,842,54,-3976
Dead Island South East,890,50,-3899
Dead Island South West,781,37,-3888
Decayed Basin,-477,48,-5453
Dernel Jungle Lower,-612,25,-423
Dernel Jungle Mid,-868,24,-366
Dernel Jungle Upper,-937,25,-675
Desert East Lower,1317,78,-1824
Desert East Mid,1393,86,-2103
Desert East Upper,1374,86,-2175
Desert Lower,1095,73,-1777
Desert Mid-Lower,1153,78,-1889
Desert Mid-Upper,1158,78,-2057
Desert Upper,1068,76,-2183
Desert West Lower,988,72,-1796
Desert West Upper,931,61,-2147
Desolate Valley,381,71,-1120
Detlas,486,70,-1588
Detlas Close Suburbs,341,70,-1578
Detlas Far Suburbs,66,66,-1590
Detlas Savannah Transition,607,70,-1601
Detlas Suburbs,201,71,-1577
Detlas Trail East Plains,350,72,-1743
Detlas Trail West Plains,62,68,-1660
Dragonling Nests,1094,116,-4999
Dujgon Nation,991,40,-3454
Durum Isles Center,456,45,-2915
Durum Isles East,516,43,-2809
Durum Isles Lower,365,41,-2821
Durum Isles Upper,561,40,-2964
Efilim East Plains,-958,50,-4977
Efilim South East Plains,-974,47,-4916
Efilim South Plains,-1073,45,-4887
Efilim Village,-1062,44,-4991
Elkurn,-2,77,-1163
