Other,"?? [|||||2821|||||]","§7§c?§c?§r §4[§c|||||§428§821§0|||||§4]",-819,50,-6152
Gathering Spot,"Diamond","...",-864,43,-6050
Other,"DANGER!","§6[Lv. 95] Area",-789,21,-6134
Territory Post,"Azure Frontier","...",-777,85,-6250
Gathering Spot,"Rice","...",-842,52,-6154
Territory Post,"Nexus of Light","...",-719,102,-6420
Raid,"Max Party Lv: 500","...",-732,99,-6412
Gathering Spot,"Rice","...",-849,52,-6155
Other,"0/1","§7Right-click to add",-750,5,-6160
Gathering Spot,"Koi","...",-950,29,-6130
Gathering Spot,"Diamond","...",-863,44,-6034
Gathering Spot,"Koi","...",-949,29,-6135
Other,"to open the way","§7to open the way",-827,6,-6095
Gathering Spot,"Diamond","...",-819,63,-6289
Territory Post,"Field of Life","...",-851,51,-6089
Gathering Spot,"Diamond","...",-862,41,-6037
Territory Post,"Heavenly Ingress","...",-828,58,-5981
Other,"(Lv. ~100) Find 4 Player groups for","§dParty Finder",-727,103,-6463
Gathering Spot,"Koi","...",-954,29,-6127
Gathering Spot,"Diamond","...",-855,42,-6038
BROKEN,"Gathering Spot","null",-812,52,-6116
Gathering Spot,"Diamond","...",-839,51,-6096
Gathering Spot,"Diamond","...",-821,63,-6293
Gathering Spot,"Diamond","...",-857,43,-6034
Gathering Spot,"Diamond","...",-877,45,-6051
BROKEN,"Gathering Spot","null",-841,51,-6090
Gathering Spot,"Diamond","...",-833,51,-6096
Gathering Spot,"Diamond","...",-878,45,-6047
Gathering Spot,"Rice","...",-809,52,-6114
Territory Post,"Primal Fen","...",-933,49,-6179
Gathering Spot,"Diamond","...",-859,42,-6042
Territory Post,"Otherwordly Monolith","...",-700,67,-6032
Gathering Spot,"Rice","...",-834,52,-6150
Gathering Spot,"Diamond","...",-835,54,-6092
Other,"Req: 3 [Uth Rune]","§dRaid Keeper",-732,105,-6499
Gathering Spot,"Diamond","...",-866,42,-6041
ServiceNPC,"Emerald Merchant","...",-727,102,-6453
Other,"Bank","§2Bank",-729,100,-6453
ServiceNPC,"Potion Merchant","...",-737,102,-6443
Gathering Spot,"Diamond","...",-816,63,-6283
Gathering Spot,"Diamond","...",-854,44,-6036
Gathering Spot,"Diamond","...",-858,43,-6049
Gathering Spot,"Rice","...",-815,52,-6146
Gathering Spot,"Rice","...",-808,52,-6117
Other,"Teleport Back to Exit","§eTeleport Back to Exit",-750,100,-6394
ServiceNPC,"Potion Merchant","...",-872,59,-6010
Territory Post,"Luminous Plateau","...",-943,67,-6055
Gathering Spot,"Rice","...",-838,52,-6154
Gathering Spot,"Diamond","...",-883,48,-6052
Service,"Housing Balloon","...",-876,56,-5948
BROKEN,"Gathering Spot","null",-826,64,-6281
ServiceNPC,"Blacksmith","...",-727,102,-6444
Territory Post,"Path to Light","...",-792,51,-6117
Gathering Spot,"Diamond","...",-812,67,-6286
Gathering Spot,"Koi","...",-950,29,-6139
Gathering Spot,"Diamond","...",-820,65,-6279
Other,"Teleporter","§6§lTeleporter",-868,58,-5997
