Gathering Spot,"Dernic","...",997,85,-424
Booth Shop,"...","...",1285,88,-755
Gathering Spot,"Dernic Fish","...",780,150,-970
Other,"Dodged","Dodged",1411,125,-1006
Other,"to open the door","§c§lHUNT",1153,123,-281
ServiceNPC,"Scroll Merchant","...",969,74,-667
Gathering Spot,"Dernic","...",507,89,-335
Gathering Spot,"Dernic Seed","...",1210,137,-1095
Gathering Spot,"Dernic","...",851,77,-424
Territory Post,"Gateway to Nothing","...",1158,81,-961
Gathering Spot,"Dernic Seed","...",1204,138,-1088
ServiceNPC,"Item Identifier","...",963,76,-677
Other,"Dodged","Dodged",518,92,-816
Raid,"The 123456 Anomaly","...",1116,82,-908
Gathering Spot,"Dernic","...",767,110,-474
Gathering Spot,"Dernic","...",1028,81,-596
ServiceNPC,"Emerald Merchant","...",975,74,-692
Gathering Spot,"Dernic Fish","...",775,150,-966
Other,"Difficulty: Extreme","§7Difficulty: §4§lExtreme",1293,92,-750
Service,"Tailoring Station","...",965,75,-663
Territory Post,"Lutho","...",973,78,-744
Territory Post,"Grey Ruins","...",585,92,-555
Service,"Cooking Station","...",985,78,-742
Gathering Spot,"Dernic Seed","...",1174,78,-976
Other,"Dodged","Dodged",1411,125,-1007
ServiceNPC,"Liquid Merchant","...",981,74,-690
Gathering Spot,"Dernic Seed","...",1174,78,-985
Gathering Spot,"Dernic Seed","...",1208,136,-1099
Gathering Spot,"Dernic","...",911,73,-625
Gathering Spot,"Dernic","...",1024,80,-613
Gathering Spot,"Dernic","...",1035,85,-438
Gathering Spot,"Dernic","...",678,98,-292
ServiceNPC,"Dungeon Merchant","...",1304,88,-749
Gathering Spot,"Dernic","...",892,74,-639
Other,"Right-click to add","§c§lSLAY!",1095,59,-696
Territory Post,"Bizarre Passage","...",1321,88,-661
Other,"Raid Keeper","§dRaid Keeper",1071,108,-830
Territory Post,"Mine Base Plains","...",572,72,-1206
Other,"Dodged","Dodged",832,66,-783
Gathering Spot,"Dernic","...",869,76,-641
NPC,"Lutho Citizen","Citizen",1014,78,-676
Gathering Spot,"Dernic","...",1041,79,-641
