Gathering Spot,"Pine","...",254,101,-4554
Gathering Spot,"Pine","...",441,32,-5359
Service,"Tailoring Station","...",208,31,-5253
Gathering Spot,"Oak","...",657,79,-5155
Gathering Spot,"Oak","...",652,79,-5157
Gathering Spot,"Pine","...",879,46,-5375
Gathering Spot,"Pine","...",503,68,-5447
Service,"Cooking Station","...",810,77,-5080
Gathering Spot,"Pine","...",122,54,-5305
NPC,"Challenger Apprentice","...",465,111,-5579
Territory Post,"Thanos","...",193,8,-5242
NPC,"Accessory Merchant","Merchant",176,7,-5194
Gathering Spot,"Rice","...",505,49,-5552
ServiceNPC,"Emerald Merchant","...",835,75,-5097
Gathering Spot,"Pine","...",761,46,-5311
NPC,"Thesead Citizen","Citizen",739,77,-5048
Gathering Spot,"Pine","...",494,76,-4433
NPC,"Transmutation Merchant","Merchant",343,5,-5617
Gathering Spot,"Pine","...",823,46,-5290
ServiceNPC,"Emerald Merchant","...",224,30,-5242
Gathering Spot,"Oak","...",786,80,-5189
Gathering Spot,"Pine","...",332,52,-5253
Gathering Spot,"Oak","...",549,113,-4816
Gathering Spot,"Oak","...",554,112,-4788
Gathering Spot,"Pine","...",351,79,-4568
Gathering Spot,"Starfish","...",764,136,-4376
Territory Post,"Eltom","...",976,109,-5497
Territory Post,"Path To The Arch","...",66,47,-4583
Gathering Spot,"Pine","...",649,79,-5030
Gathering Spot,"Diamond","...",613,33,-4751
Gathering Spot,"Bass","...",478,28,-4431
Gathering Spot,"Pine","...",299,102,-4429
Gathering Spot,"Sky","...",735,187,-4495
Gathering Spot,"Pine","...",118,104,-4647
Gathering Spot,"Pine","...",456,30,-5350
NPC,"Dohstaj","...",179,7,-5253
Gathering Spot,"Pine","...",158,61,-5304
Other,"Reflected","Dodged",540,98,-5252
Territory Post,"Temple of the Lost East","...",348,30,-4780
Gathering Spot,"Pine","...",534,29,-5179
Gathering Spot,"Pine","...",802,102,-5026
Gathering Spot,"Pine","...",628,93,-4385
Other,"Canary","§2Canary",737,103,-5013
Other,"Dodged","Dodged",308,32,-5549
Gathering Spot,"Pine","...",771,102,-5010
Gathering Spot,"Pine","...",135,45,-5380
Gathering Spot,"Oak","...",741,48,-5292
Other,"MASTER PRIZE","§d§lMASTER PRIZE",341,5,-5622
Gathering Spot,"Pine","...",856,100,-5090
NPC,"Chef Hamsey","...",774,86,-4323
Gathering Spot,"Pine","...",940,193,-5560
Gathering Spot,"Pine","...",229,80,-5271
Territory Post,"Cliffside Waterfall","...",520,31,-5122
Gathering Spot,"Bass","...",137,43,-4447
NPC,"Transmutation Merchant","Merchant",332,17,-5550
Gathering Spot,"Oak","...",517,112,-4782
Booth Shop,"...","...",202,30,-5242
Gathering Spot,"Oak","...",417,90,-4659
Gathering Spot,"Oak","...",499,108,-4717
Gathering Spot,"Pine","...",630,93,-4381
ServiceNPC,"Blacksmith","...",945,116,-5486
Gathering Spot,"Pine","...",818,44,-5566
Gathering Spot,"Pine","...",164,56,-4458
Gathering Spot,"Pine","...",854,150,-5586
Other,"Exit","§4Exit",1012,113,-5517
ServiceNPC,"Emerald Merchant","...",920,117,-5463
Gathering Spot,"Pine","...",819,69,-5226
Gathering Spot,"Pine","...",117,69,-5420
Other,"Dodged","Dodged",268,76,-4590
Territory Post,"Military Base Lower","...",220,79,-5363
NPC,"Major","...",167,71,-5483
Gathering Spot,"Pine","...",628,93,-4370
NPC,"Sensei Miyagi","...",495,109,-5571
Gathering Spot,"Pine","...",59,45,-4694
Booth Shop,"...","...",173,7,-5294
Gathering Spot,"Pine","...",176,104,-4398
NPC,"Coal Miner","...",748,96,-4994
Gathering Spot,"Bamboo","...",116,76,-4359
Gathering Spot,"Pine","...",904,143,-5435
Gathering Spot,"Pine","...",595,89,-4427
Gathering Spot,"Pine","...",290,146,-4667
Gathering Spot,"Diamond","...",629,31,-4831
Gathering Spot,"Bass","...",343,27,-4776
Other,"Dodged","Dodged",267,74,-4591
ServiceNPC,"Emerald Merchant","...",170,7,-5322
Gathering Spot,"Pine","...",379,29,-5351
Gathering Spot,"Pine","...",456,29,-4962
Gathering Spot,"Diamond","...",365,76,-5007
Gathering Spot,"Sky","...",762,128,-4520
Gathering Spot,"Sky","...",779,83,-4505
Gathering Spot,"Pine","...",595,89,-4421
NPC,"Yobon","...",192,7,-5289
Gathering Spot,"Pine","...",337,131,-4557
Service,"Armouring Station","...",237,31,-5234
Other,"Dodged","Dodged",566,83,-5470
Gathering Spot,"Pine","...",619,93,-4379
NPC,"Bartender","...",151,52,-5435
Other,"HIVE SHOP","§b§lHIVE SHOP",336,37,-5469
Territory Post,"Cliff Side of the Lost","...",371,59,-4444
Gathering Spot,"Pine","...",411,30,-5341
NPC,"Thesead Miner","...",728,99,-5008
Gathering Spot,"Pine","...",431,29,-4461
Gathering Spot,"Diamond","...",643,34,-4794
Service,"Woodworking Station","...",226,31,-5228
Other,"Hobgoblin","§2§fHobgoblin",397,52,-4774
Gathering Spot,"Pine","...",116,45,-5367
Gathering Spot,"Pine","...",67,87,-4340
Other,"Dodged","Dodged",834,45,-5340
Gathering Spot,"Pine","...",847,102,-5031
Gathering Spot,"Pine","...",129,69,-4406
NPC,"General Lecade","...",174,72,-5496
Gathering Spot,"Pine","...",660,79,-5090
BROKEN,"Gathering Spot","null",758,82,-5171
ServiceNPC,"Emerald Merchant","...",918,117,-5473
Other,"Misty Canyon Tavern","Misty Canyon Tavern",146,56,-5452
Gathering Spot,"Pine","...",597,31,-5181
Gathering Spot,"Oak","...",779,80,-5175
Gathering Spot,"Bass","...",380,28,-4655
Gathering Spot,"Pine","...",467,29,-5358
Other,"Dodged","Dodged",349,32,-4608
Gathering Spot,"Pine","...",621,93,-4377
Gathering Spot,"Pine","...",599,31,-5183
ServiceNPC,"Emerald Merchant","...",835,75,-5093
Gathering Spot,"Pine","...",634,121,-4371
Gathering Spot,"Pine","...",221,118,-4645
Gathering Spot,"Pine","...",63,87,-4354
Gathering Spot,"Oak","...",786,80,-5195
Territory Post,"Canyon Fortress","...",325,62,-4681
Other,"Dodged","Dodged",434,26,-5200
Gathering Spot,"Pine","...",220,118,-4640
ServiceNPC,"Tool Merchant","...",518,31,-5412
Territory Post,"Path To Ozoth's Spire Upper","...",174,126,-5162
Gathering Spot,"Pine","...",535,28,-5372
Service,"Alchemism Station","...",813,77,-5108
Gathering Spot,"Pine","...",371,29,-5337
Gathering Spot,"Pine","...",76,49,-4728
Other,"Dodged","Dodged",634,65,-4756
Gathering Spot,"Diamond","...",615,30,-4752
Gathering Spot,"Pine","...",652,101,-5089
Service,"Jeweling Station","...",939,118,-5513
ServiceNPC,"Scroll Merchant","...",737,164,-4417
Other,"Dodged","Dodged",494,32,-4960
Territory Post,"Mountain Path","...",319,124,-4355
Gathering Spot,"Pine","...",618,56,-4766
Gathering Spot,"Pine","...",191,78,-4484
Gathering Spot,"Oak","...",485,63,-4903
Other,"Ancient Scripture","§2§fAncient Scripture",712,156,-4507
Territory Post,"Krolton's Cave","...",388,30,-4900
Gathering Spot,"Oak","...",662,79,-5149
NPC,"Ranol","...",768,45,-5425
Gathering Spot,"Bamboo","...",119,76,-4374
Gathering Spot,"Pine","...",645,79,-5071
Gathering Spot,"Sky","...",748,124,-4543
Gathering Spot,"Pine","...",345,58,-4594
Gathering Spot,"Pine","...",801,102,-5021
Gathering Spot,"Oak","...",682,79,-5126
NPC,"Gana","...",426,101,-4830
Gathering Spot,"Pine","...",171,92,-5410
Territory Post,"Canyon Walk Way","...",316,32,-5110
ServiceNPC,"Item Identifier","...",807,77,-5091
Gathering Spot,"Pine","...",229,118,-5395
NPC,"Lieutenant","...",183,78,-5497
Gathering Spot,"Pine","...",154,61,-5304
Gathering Spot,"Pine","...",679,79,-5084
Gathering Spot,"Pine","...",582,119,-4429
Gathering Spot,"Bamboo","...",193,100,-4381
Territory Post,"Thesead Suburbs","...",760,47,-5314
Gathering Spot,"Sky","...",781,83,-4507
Miniquest,"Farming","86",743,48,-5318
Gathering Spot,"Pine","...",182,80,-4650
Gathering Spot,"Pine","...",64,46,-4625
NPC,"Coulmis","...",163,7,-5168
Territory Post,"Canyon Mountain South","...",334,67,-4921
NPC,"Thesead Miner","...",733,111,-4982
Gathering Spot,"Oak","...",429,90,-4648
Gathering Spot,"Pine","...",615,127,-4398
Territory Post,"Cliffside Valley","...",502,30,-4997
ServiceNPC,"Scroll Merchant","...",226,30,-5268
Gathering Spot,"Pine","...",767,48,-5472
NPC,"Thesead Citizen","Citizen",801,75,-5075
Gathering Spot,"Pine","...",860,46,-5515
NPC,"Transmutation Merchant","Merchant",332,13,-5568
Gathering Spot,"Sky","...",750,202,-4502
NPC,"Hive Servant","...",322,48,-5501
Gathering Spot,"Pine","...",210,80,-5294
Gathering Spot,"Pine","...",89,45,-4643
NPC,"Atila","...",171,7,-5164
Other,"Dodged","Dodged",348,32,-4610
Gathering Spot,"Pine","...",671,126,-5111
Gathering Spot,"Pine","...",394,30,-5325
Gathering Spot,"Millet","...",426,31,-4940
Gathering Spot,"Pine","...",663,79,-5032
Gathering Spot,"Oak","...",446,89,-4878
Gathering Spot,"Pine","...",713,101,-5023
Gathering Spot,"Pine","...",658,79,-5054
Gathering Spot,"Pine","...",311,133,-4402
Gathering Spot,"Oak","...",507,115,-4798
Gathering Spot,"Pine","...",871,46,-5374
Other,"Dodged","Dodged",382,33,-5471
NPC,"Lodog","...",159,7,-5285
Gathering Spot,"Sky","...",765,147,-4457
Gathering Spot,"Pine","...",923,83,-5390
Gathering Spot,"Pine","...",420,30,-5331
Gathering Spot,"Pine","...",633,80,-4791
Gathering Spot,"Pine","...",483,28,-5390
Territory Post,"Thanos Exit Upper","...",351,53,-5249
Gathering Spot,"Pine","...",179,62,-4510
Gathering Spot,"Pine","...",154,114,-5492
Gathering Spot,"Pine","...",356,38,-4833
Other,"Dodged","Dodged",320,28,-5575
Gathering Spot,"Pine","...",426,29,-4467
Gathering Spot,"Pine","...",320,147,-4548
Gathering Spot,"Pine","...",828,102,-5035
Gathering Spot,"Pine","...",342,131,-4551
Gathering Spot,"Pine","...",164,44,-5375
Gathering Spot,"Pine","...",239,83,-5250
