Gathering Spot,"Light","...",-671,47,-4678
Gathering Spot,"Cobalt","...",-900,46,-4952
Gathering Spot,"Light","...",-949,44,-4749
Other,"Dodged","Dodged",-933,47,-5224
Gathering Spot,"Dark","...",-872,48,-5271
Other,"-250 ?","§5-250 ? ",-904,48,-4441
Gathering Spot,"Light","...",-1052,46,-4726
Other,"-250 ?","§5-250 ? ",-52,72,-4491
Other,"-250 ?","§5-250 ? ",-931,45,-4471
Gathering Spot,"Light","...",-728,45,-4722
Gathering Spot,"Oak","...",-127,39,-4571
Other,"Laboratory","§6§lLa§kb§6§lora§kto§6§lr§ky",-133,15,-4982
Gathering Spot,"Light","...",-1103,44,-4645
Gathering Spot,"Light","...",-861,44,-4578
Gathering Spot,"Light","...",-1003,47,-4746
Gathering Spot,"Oak","...",-324,66,-4617
Gathering Spot,"Light","...",-1123,46,-5088
Other,"-250 ?","§5-250 ? ",-468,35,-5101
Other,"Dodged","Dodged",-1326,69,-4302
Other,"The Silmarillion","The Silmarillion",-928,49,-4570
Gathering Spot,"Light","...",-809,43,-4914
Gathering Spot,"Light","...",-1142,44,-5024
Gathering Spot,"Dark","...",-432,45,-5297
Gathering Spot,"Dark","...",-770,47,-5079
Other,"Accessory Shop","§dAccessory Shop",-302,108,-4434
Other,"-250 ?","§5-250 ? ",-895,44,-4450
Other,"-250 ?","§5-250 ? ",-300,48,-4930
Gathering Spot,"Light","...",-1337,44,-4994
Gathering Spot,"Light","...",-758,44,-4884
Gathering Spot,"Oak","...",-1091,43,-4979
BROKEN,"Gathering Spot","null",-709,48,-4684
Gathering Spot,"Oak","...",-263,33,-5283
Other,"-250 ?","§5-250 ? ",-922,45,-4490
Gathering Spot,"Dark","...",-717,47,-5334
Gathering Spot,"Light","...",-799,45,-4743
Gathering Spot,"Kanderstone","...",-799,57,-5376
Gathering Spot,"Light","...",-983,73,-4357
Gathering Spot,"Dark","...",-589,46,-5314
Gathering Spot,"Oak","...",-324,38,-4623
Service,"Woodworking Station","...",-1086,44,-4975
Gathering Spot,"Pine","...",-209,147,-4404
Gathering Spot,"Oak","...",-237,119,-4492
Gathering Spot,"Spruce","...",-627,47,-4901
Gathering Spot,"Dark","...",-1085,58,-5260
Other,"Dodged","Dodged",-799,12,-4891
Gathering Spot,"Rice","...",198,95,-4358
BROKEN,"Gathering Spot","null",-713,53,-5185
Gathering Spot,"Light","...",-1291,48,-4979
Gathering Spot,"Barley","...",-536,49,-5003
Other,"Dodged","Dodged",-802,7,-4903
Gathering Spot,"Light","...",-904,47,-5027
Gathering Spot,"Oak","...",-478,36,-5130
Gathering Spot,"Oak","...",-300,104,-4485
Gathering Spot,"Cobalt","...",-260,32,-5019
Gathering Spot,"Barley","...",-541,49,-4973
Gathering Spot,"Bamboo","...",-338,104,-4495
Gathering Spot,"Dark","...",-879,48,-5322
NPC,"Marden","...",16,72,-4795
Gathering Spot,"Barley","...",-529,49,-5031
Gathering Spot,"Decay Roots","...",-954,51,-5303
Miniquest,"Slaying","73",-984,45,-4637
Gathering Spot,"Light","...",-1111,46,-4588
Gathering Spot,"Oak","...",-226,100,-4525
Other,"Dodged","Dodged",-1323,69,-4300
