Gathering Spot,"Jungle","...",-2119,48,-2266
Gathering Spot,"Jungle","...",-2129,39,-2305
Gathering Spot,"Oak","...",-776,35,-2059
Gathering Spot,"Oak","...",-2033,26,-4321
Gathering Spot,"Oak","...",-1980,35,-4374
Gathering Spot,"Jungle","...",-2160,36,-3715
NPC,"Seaskipper Captain","Utility",-1948,36,-4225
Gathering Spot,"Oak","...",-1978,33,-4356
Gathering Spot,"Gudgeon","...",-766,35,-2099
Gathering Spot,"Jungle","...",-2031,26,-4311
Other,"Dodged","Dodged",-1649,39,-1914
Other,"Dodged","Dodged",-1614,41,-1844
Other,"Durability:","§2[§a|||||100%|||||§2]",-853,119,-2459
Gathering Spot,"Jungle","...",-955,50,-2224
Other,"Dodged","Dodged",-2229,50,-2712
Gathering Spot,"Millet","...",-862,123,-2469
Gathering Spot,"Oak","...",-2047,30,-4345
Gathering Spot,"Oak","...",-729,37,-2188
Other,"Dodged","Dodged",-980,78,-2134
Other,"Dodged","Dodged",-941,38,-2160
Gathering Spot,"Jungle","...",-1870,35,-1965
Other,"Jump to Page 21","§7Jump to Page 21",-1924,43,-4242
Gathering Spot,"Jungle","...",-2154,42,-4194
Service,"Housing Balloon","...",-2006,36,-4367
Gathering Spot,"Millet","...",-867,123,-2487
Gathering Spot,"Millet","...",-838,123,-2486
Gathering Spot,"Oak","...",-1990,29,-4347
Gathering Spot,"Jungle","...",-2172,37,-3662
Gathering Spot,"Oak","...",-752,35,-2220
Gathering Spot,"Jungle","...",-951,50,-2227
Other,"Dodged","Dodged",-2232,50,-2713
Gathering Spot,"Jungle","...",-2063,44,-4363
Gathering Spot,"Oak","...",-2045,33,-4371
Other,"Dodged","Dodged",-2237,51,-2716
Gathering Spot,"Jungle","...",-2156,38,-2857
Gathering Spot,"Oak","...",-1986,31,-4357
Gathering Spot,"Jungle","...",-1877,35,-1965
Gathering Spot,"Oak","...",-2043,33,-4369
Gathering Spot,"Millet","...",-844,123,-2492
Gathering Spot,"Jungle","...",-2117,39,-3581
Gathering Spot,"Jungle","...",-1932,53,-4261
Gathering Spot,"Jungle","...",-2157,35,-3669
Gathering Spot,"Oak","...",-2027,26,-4321
Gathering Spot,"Oak","...",-761,35,-2114
Gathering Spot,"Jungle","...",-2164,40,-2996
Gathering Spot,"Jungle","...",-2038,35,-4279
Other,"Dodged","Dodged",-2281,32,-3567
BROKEN,"Gathering Spot","null",-799,38,-2061
Gathering Spot,"Oak","...",-759,41,-2241
Gathering Spot,"Jungle","...",-2179,37,-3662
Other,"Dodged","Dodged",-2075,51,-1863
Gathering Spot,"Jungle","...",-2169,41,-3520
Gathering Spot,"Oak","...",-1990,27,-4341
Gathering Spot,"Jungle","...",-1558,40,-1959
Other,"Dodged","Dodged",-2284,32,-3564
Other,"Jump to Page 21","§7Jump to Page 21",-1882,93,-1727
Gathering Spot,"Oak","...",-1982,35,-4376
Gathering Spot,"Oak","...",-767,42,-2214
Gathering Spot,"Jungle","...",-2136,39,-3796
Gathering Spot,"Millet","...",-841,123,-2491
Other,"Jump to Page 21","§7Jump to Page 21",-1948,93,-1727
Gathering Spot,"Oak","...",-749,41,-2257
Gathering Spot,"Jungle","...",-2132,37,-3532
Gathering Spot,"Oak","...",-733,36,-2100
BROKEN,"Gathering Spot","null",-867,123,-2470
Other,"Dodged","Dodged",-2238,87,-2325
Gathering Spot,"Jungle","...",-1574,40,-1948
Gathering Spot,"Jungle","...",-2088,37,-4047
Territory Post,"Royal Gate","...",-1914,59,-1768
Gathering Spot,"Jungle","...",-2133,39,-3767
Gathering Spot,"Jungle","...",-2161,38,-3507
Other,"Dodged","Dodged",-2165,60,-2912
NPC,"Royal Guard","...",-1914,80,-1725
Other,"Dodged","Dodged",-911,32,-2166
Gathering Spot,"Jungle","...",-2144,38,-4186
Gathering Spot,"Jungle","...",-2163,38,-2837
Other,"Dodged","Dodged",-1650,39,-1901
Gathering Spot,"Jungle","...",-2020,26,-4332
Gathering Spot,"Oak","...",-779,44,-2241
Gathering Spot,"Oak","...",-2060,43,-4364
Gathering Spot,"Jungle","...",-2144,36,-3518
Gathering Spot,"Oak","...",-1984,29,-4347
Gathering Spot,"Millet","...",-868,123,-2492
Gathering Spot,"Jungle","...",-2155,37,-3875
Service,"Boat Fast Travel","...",-1942,37,-4220
Other,"You must have a CHAMPION rank or higher to use this!","§cYou must have a §6CHAMPION§c rank or higher to use this!",-2006,36,-4367
Other,"Dodged","Dodged",-2086,48,-1874
Territory Post,"Llevigar Entrance","...",-2011,37,-4395
