Territory Post,"Icy Island","...",1078,58,-3332
Gathering Spot,"Malt","...",374,41,-2820
Gathering Spot,"Light","...",-930,72,-4265
Other,"Jump to Page 9","§7Jump to Page 9",731,44,-3731
Other,"Jump to Page 9","§7Jump to Page 9",50,66,-3857
Territory Post,"Nodguj Nation","...",815,61,-3358
Other,"Zhight Gift Shop","§aZhight Gift Shop",-585,40,-2781
NPC,"Seaskipper Captain","Utility",-518,36,-2679
ServiceNPC,"Tool Merchant","...",-993,38,-3751
Gathering Spot,"Dark","...",864,36,-3885
Other,"Jump to Page 9","§7Jump to Page 9",847,52,-3988
Gathering Spot,"Oak","...",-649,51,-3510
Other,"Jump to Page 9","§7Jump to Page 9",895,48,-3870
Other,"Jump to Page 9","§7Jump to Page 9",-678,77,-3058
Gathering Spot,"Barley","...",574,41,-2961
NPC,"Seasail Merchant","Merchant",86,35,-3071
Gathering Spot,"Icefish","...",1147,29,-3352
Gathering Spot,"Acacia","...",-597,43,-3541
Gathering Spot,"Oak","...",-1346,53,-4249
Gathering Spot,"Oak","...",-814,43,-2852
Other,"Dodged","Dodged",737,35,-3727
Other,"Jump to Page 9","§7Jump to Page 9",725,55,-3785
NPC,"C.S.S Wavebreaker Captain","...",153,39,-3111
Gathering Spot,"Oak","...",106,67,-3169
Other,"Jump to Page 21","§7Jump to Page 21",-1887,35,-4239
Gathering Spot,"Acacia","...",343,60,-3471
Other,"Dodged","Dodged",360,3,-3497
Gathering Spot,"Light","...",-942,86,-4317
Other,"Treasure Shop","§3Treasure Shop",110,68,-3163
Gathering Spot,"Dark","...",964,48,-4000
Gathering Spot,"Spruce","...",868,36,-3525
Gathering Spot,"Jungle","...",1312,72,-3662
Other,"Jump to Page 9","§7Jump to Page 9",733,44,-3731
Gathering Spot,"Gold","...",42,67,-3930
Service,"Weaponsmithing Station","...",1319,37,-4100
ServiceNPC,"Emerald Merchant","...",9,66,-3212
Other,"Dodged","Dodged",235,5,-3965
Gathering Spot,"Jungle","...",1284,58,-3645
Gathering Spot,"Jungle","...",-995,35,-4136
Service,"Housing Balloon","...",152,42,-2191
Other,"Jump to Page 9","§7Jump to Page 9",854,62,-4031
Gathering Spot,"Dark","...",914,52,-3961
Other,"Dodged","Dodged",384,80,-3552
Gathering Spot,"Oak","...",-863,38,-2857
Gathering Spot,"Iron","...",866,71,-3341
Gathering Spot,"Icefish","...",725,26,-3368
Gathering Spot,"Dark","...",905,51,-3979
Gathering Spot,"Cobalt","...",-912,35,-3776
Gathering Spot,"Oat","...",-70,46,-2482
Gathering Spot,"Gold","...",57,66,-3924
Gathering Spot,"Light","...",-899,70,-4191
Gathering Spot,"Icefish","...",1186,33,-3200
ServiceNPC,"Potion Merchant","...",93,66,-3167
Gathering Spot,"Jungle","...",1393,40,-4113
Gathering Spot,"Jungle","...",-1272,38,-4237
Other,"Jump to Page 9","§7Jump to Page 9",854,52,-3991
Other,"Dodged","Dodged",256,56,-3904
Service,"Boat Fast Travel","...",146,37,-3806
Gathering Spot,"Jungle","...",-615,78,-3076
Other,"Craftmas Island Bank","§2Craftmas Island Bank",1138,44,-3118
Gathering Spot,"Jungle","...",1320,72,-3662
Gathering Spot,"Dark","...",894,50,-4025
Gathering Spot,"Dark","...",825,36,-3873
Gathering Spot,"Cobalt","...",172,71,-3963
NPC,"Seaskipper Captain","Utility",863,35,-2821
Other,"Jump to Page 9","§7Jump to Page 9",852,52,-3984
Gathering Spot,"Light","...",-918,58,-4189
ServiceNPC,"Weapon Merchant","...",135,66,-3159
Gathering Spot,"Icefish","...",1155,25,-3350
Gathering Spot,"Dark","...",896,50,-3977
Gathering Spot,"Copper","...",239,62,-4138
Gathering Spot,"Iron","...",744,39,-3320
Other,"Jump to Page 9","§7Jump to Page 9",897,48,-3882
Gathering Spot,"Icefish","...",1136,35,-3311
Other,"Pirate Cove Bank","§2Pirate Cove Bank",-710,40,-3090
Gathering Spot,"Cobalt","...",-904,37,-3774
NPC,"Craftmas Merchant","Merchant",1150,61,-3139
Other,"Jump to Page 9","§7Jump to Page 9",816,35,-3902
Other,"Jump to Page 9","§7Jump to Page 9",733,34,-3709
Gathering Spot,"Jungle","...",-615,78,-3070
Gathering Spot,"Spruce","...",744,41,-3285
Gathering Spot,"Jungle","...",1175,46,-4137
Gathering Spot,"Spruce","...",794,44,-3430
Gathering Spot,"Icefish","...",1078,34,-3277
Other,"Dodged","Dodged",-249,23,-2747
ServiceNPC,"Armour Merchant","...",137,66,-3161
BROKEN,"Gathering Spot","null",903,52,-3982
Gathering Spot,"Birch","...",852,46,-2878
