Gathering Spot,"Starfish","...",1302,188,-4476
Gathering Spot,"Starfish","...",1427,127,-4571
Gathering Spot,"Sky","...",1331,187,-4429
Gathering Spot,"Voidstone","...",853,54,-4299
NPC,"Crank","...",959,44,-4448
Gathering Spot,"Sky","...",1229,118,-4477
Gathering Spot,"Sky","...",1283,186,-4454
Other,"Golden Eagle Theatre","§6Golden Eagle Theatre",1088,110,-4549
Gathering Spot,"Hemp","...",856,45,-4359
NPC,"Skyraider Guard","...",1479,85,-4343
Gathering Spot,"Oak","...",1507,112,-4666
Service,"Cooking Station","...",962,127,-4474
Gathering Spot,"Voidstone","...",786,67,-4904
Gathering Spot,"Oak","...",1442,84,-4374
Gathering Spot,"Hemp","...",1473,91,-4604
Gathering Spot,"Starfish","...",980,133,-4875
Gathering Spot,"Diamond","...",1376,42,-4783
Gathering Spot,"Sky","...",670,110,-4684
Gathering Spot,"Voidstone","...",784,65,-4904
Gathering Spot,"Hemp","...",811,47,-4356
Gathering Spot,"Voidstone","...",852,57,-4301
Gathering Spot,"Voidstone","...",858,53,-4309
NPC,"Scavenger Hunt Collector","...",1036,115,-4531
Gathering Spot,"Sky","...",1133,183,-4549
Gathering Spot,"Sky","...",960,138,-4487
Gathering Spot,"Voidstone","...",855,55,-4316
ServiceNPC,"Scroll Merchant","...",953,118,-4593
Territory Post,"Jofash Tunnel","...",1255,50,-4321
Gathering Spot,"Hemp","...",815,47,-4356
Gathering Spot,"Sky","...",1007,167,-4831
ServiceNPC,"Potion Merchant","...",1121,107,-4549
Gathering Spot,"Sky","...",1373,93,-4483
Gathering Spot,"Sky","...",1225,68,-4963
Other,"Dodged","Dodged",1461,84,-4429
Gathering Spot,"Voidstone","...",833,58,-4291
Gathering Spot,"Sky","...",1337,184,-4485
Gathering Spot,"Sky","...",1161,160,-4528
Other,"Golden Spoon Award 998 AP","§6§lGolden Spoon §6Award 995 AP",957,54,-4276
Territory Post,"Snail Island","...",985,137,-4814
Booth Shop,"...","...",1002,114,-4570
Other,"Dodged","Dodged",1483,84,-4439
Gathering Spot,"Sky","...",1102,113,-4656
Gathering Spot,"Starfish","...",1439,127,-4571
NPC,"Seaskipper Captain","Utility",1263,35,-4095
Gathering Spot,"Sky","...",1351,122,-4740
Gathering Spot,"Oak","...",1439,84,-4370
Gathering Spot,"Sky","...",1087,187,-4538
Gathering Spot,"Sky","...",1322,67,-4663
Other,"Dodged","Dodged",1109,107,-4734
Gathering Spot,"Sky","...",1129,184,-4530
Gathering Spot,"Sky","...",1116,109,-4744
Gathering Spot,"Sky","...",1269,165,-4557
ServiceNPC,"Armour Merchant","...",928,110,-4546
Gathering Spot,"Voidstone","...",783,55,-4900
Gathering Spot,"Sky","...",1272,184,-4477
Gathering Spot,"Starfish","...",1426,127,-4584
NPC,"Chef Hamsey","...",949,129,-4475
BROKEN,"Gathering Spot","null",777,82,-4891
Gathering Spot,"Sky","...",741,164,-4547
Gathering Spot,"Sky","...",1234,67,-4961
BROKEN,"Gathering Spot","null",1324,149,-4594
Gathering Spot,"Willow","...",1144,124,-4877
Gathering Spot,"Sky","...",1373,88,-4408
Other,"Ahmsord Bank","§2Ahmsord Bank",1073,111,-4560
Gathering Spot,"Oak","...",1437,84,-4357
Other,"Dodged","Dodged",1389,158,-4552
Other,"Dodged","Dodged",1237,141,-4851
Other,"Ahmsord Bank","§2Ahmsord Bank",1081,111,-4560
BROKEN,"Gathering Spot","null",1076,115,-4443
Gathering Spot,"Sky","...",1459,126,-4676
Gathering Spot,"Sky","...",765,150,-4490
Gathering Spot,"Voidstone","...",787,64,-4904
NPC,"Help Wanted","...",1108,109,-4555
NPC,"Talking Mushroom","...",1100,127,-4869
BROKEN,"Gathering Spot","null",1067,122,-4472
Gathering Spot,"Sky","...",1315,188,-4477
Other,"Golden Spoon Award 997 AP","§6§lGolden Spoon §6Award 994 AP",956,54,-4276
Gathering Spot,"Sky","...",813,77,-4870
Gathering Spot,"Sky","...",1284,66,-4672
NPC,"Ahmsord Citizen","Citizen",1009,113,-4546
Gathering Spot,"Sky","...",1220,54,-4945
Gathering Spot,"Sky","...",1216,155,-4438
Gathering Spot,"Voidstone","...",858,54,-4302
Gathering Spot,"Voidstone","...",784,56,-4903
Gathering Spot,"Sky","...",851,132,-4399
Gathering Spot,"Oak","...",1435,84,-4370
Gathering Spot,"Oak","...",1437,84,-4368
Gathering Spot,"Sky","...",1343,143,-4583
Gathering Spot,"Sky","...",1335,184,-4475
Gathering Spot,"Sky","...",964,138,-4487
NPC,"Kale","...",901,54,-4273
Other,"You are here","§6You are here",1394,109,-4876
Gathering Spot,"Starfish","...",1425,127,-4574
Gathering Spot,"Sky","...",1218,155,-4440
NPC,"Ahmsord Child","...",1105,193,-4545
Gathering Spot,"Diamond","...",1184,51,-4800
Gathering Spot,"Sky","...",1223,152,-4447
ServiceNPC,"Emerald Merchant","...",1073,108,-4536
Gathering Spot,"Sky","...",851,123,-4483
BROKEN,"Gathering Spot","null",858,91,-4520
Gathering Spot,"Sky","...",1122,144,-4432
Gathering Spot,"Hemp","...",1461,103,-4289
Gathering Spot,"Starfish","...",1090,127,-4680
Territory Post,"Raider's Base Upper","...",1442,85,-4377
Gathering Spot,"Sky","...",1319,79,-4647
Gathering Spot,"Sky","...",1021,147,-4869
Gathering Spot,"Sky","...",1230,143,-4436
Gathering Spot,"Sky","...",1025,107,-4645
Gathering Spot,"Hemp","...",1242,143,-4849
Gathering Spot,"Sky","...",1399,104,-4408
Gathering Spot,"Sky","...",1292,66,-4709
Gathering Spot,"Sky","...",958,134,-4874
Gathering Spot,"Sky","...",1163,125,-4819
Gathering Spot,"Sky","...",851,132,-4395
Other,"Siegfried Scavenger Hunt","§dSiegfried Scavenger Hunt",1028,115,-4541
Other,"Dodged","Dodged",685,90,-4644
Gathering Spot,"Sky","...",1121,158,-4589
Other,"Dodged","Dodged",1458,101,-4293
Gathering Spot,"Sky","...",1108,137,-4437
Gathering Spot,"Sky","...",1275,137,-4935
Gathering Spot,"Sky","...",1212,177,-4427
NPC,"Chef Hamsey","...",917,53,-4273
Gathering Spot,"Starfish","...",977,133,-4874
Gathering Spot,"Diamond","...",1377,12,-4804
Gathering Spot,"Sky","...",854,85,-4413
Gathering Spot,"Jungle","...",1270,37,-4125
Gathering Spot,"Sky","...",1341,78,-4666
Gathering Spot,"Sky","...",1269,176,-4440
Gathering Spot,"Sky","...",1048,160,-4666
Gathering Spot,"Hemp","...",834,43,-4372
Other,"Dodged","Dodged",774,79,-4876
Gathering Spot,"Sky","...",1313,67,-4690
Gathering Spot,"Sky","...",1217,142,-4614
NPC,"Siegfried Agent","...",1120,124,-4556
Gathering Spot,"Sky","...",732,154,-4535
Gathering Spot,"Voidstone","...",858,55,-4290
Gathering Spot,"Sky","...",1373,143,-4510
NPC,"Egpla","...",1427,85,-4346
Gathering Spot,"Starfish","...",974,133,-4874
Other,"Dodged","Dodged",847,88,-4514
Gathering Spot,"Sky","...",968,45,-4429
Gathering Spot,"Starfish","...",1319,142,-4601
NPC,"Hrona","...",1486,87,-4332
Gathering Spot,"Sky","...",752,82,-4845
Gathering Spot,"Sky","...",1220,167,-4588
Other,"Exchange [3 Uth Runes] for [1 Tol Rune]","§7Exchange §b[5 Az Runes] §7for §2[1 Tol Rune]",1431,119,-4634
NPC,"Tavern Owner","...",1333,38,-4071
Other,"^ Airship Docks","§9^ Airship Docks",1097,130,-4534
Gathering Spot,"Sky","...",1351,79,-4662
Gathering Spot,"Molten Eel","...",1233,51,-4950
Booth Shop,"...","...",1019,113,-4564
Gathering Spot,"Starfish","...",1074,142,-4678
Gathering Spot,"Sky","...",1225,152,-4449
Gathering Spot,"Sky","...",1063,117,-4603
Service,"Tailoring Station","...",1108,104,-4558
Gathering Spot,"Sky","...",1214,165,-4848
BROKEN,"Gathering Spot","null",787,62,-4906
Gathering Spot,"Jungle","...",1273,37,-4121
Gathering Spot,"Sky","...",1252,93,-4489
Gathering Spot,"Sky","...",1003,109,-4668
Gathering Spot,"Sky","...",1364,88,-4495
Gathering Spot,"Sky","...",1261,102,-4443
Gathering Spot,"Sky","...",1304,183,-4512
Gathering Spot,"Sky","...",1210,55,-4945
Territory Post,"Angel Refuge","...",1385,61,-4810
Gathering Spot,"Sky","...",1507,130,-4618
Other,"Dodged","Dodged",1256,132,-4941
Gathering Spot,"Sky","...",1124,144,-4430
Gathering Spot,"Oak","...",1439,84,-4359
Gathering Spot,"Sky","...",670,121,-4671
Gathering Spot,"Sky","...",665,117,-4667
Gathering Spot,"Sky","...",1424,99,-4431
BROKEN,"Gathering Spot","null",1252,132,-4927
Gathering Spot,"Sky","...",1021,103,-4399
Other,"Golden Eagle Theatre","§6Golden Eagle Theatre",1125,127,-4546
BROKEN,"Gathering Spot","null",822,59,-4311
Other,"Ahmsord Bank","§2Ahmsord Bank",1073,111,-4538
Gathering Spot,"Sky","...",1287,65,-4690
Territory Post,"Path to Ahmsord Lower","...",839,113,-4538
Gathering Spot,"Oak","...",1496,137,-4535
Territory Post,"Sky Island Ascent","...",1265,103,-4446
Gathering Spot,"Sky","...",1504,112,-4660
Gathering Spot,"Sky","...",1048,120,-4462
Gathering Spot,"Voidstone","...",848,53,-4308
Gathering Spot,"Sky","...",1023,147,-4871
ServiceNPC,"Weapon Merchant","...",925,110,-4543
Gathering Spot,"Sky","...",874,103,-4494
Territory Post,"Sky Falls","...",1404,117,-4614
Gathering Spot,"Sky","...",775,81,-4522
Gathering Spot,"Sky","...",916,77,-4883
Gathering Spot,"Sky","...",1173,107,-4803
Gathering Spot,"Sky","...",976,154,-4828
Other,"Dodged","Dodged",1356,142,-4619
BROKEN,"Gathering Spot","null",1403,134,-4715
Gathering Spot,"Molten Eel","...",1237,51,-4954
Gathering Spot,"Sky","...",773,153,-4483
Gathering Spot,"Hemp","...",819,46,-4347
NPC,"Crane Mechanic","...",1024,113,-4558
Gathering Spot,"Voidstone","...",823,52,-4325
Gathering Spot,"Sky","...",1007,100,-4399
Gathering Spot,"Sky","...",742,129,-4537
Gathering Spot,"Sky","...",1080,111,-4628
Gathering Spot,"Hemp","...",812,47,-4353
Other,"The Warehouse","§9The Warehouse",1481,88,-4433
Territory Post,"Frozen Fort","...",1564,192,-4587
Gathering Spot,"Sky","...",1043,150,-4856
Gathering Spot,"Sky","...",1085,129,-4862
Gathering Spot,"Starfish","...",1440,127,-4580
Gathering Spot,"Starfish","...",1306,35,-4054
Gathering Spot,"Hemp","...",1238,143,-4845
Gathering Spot,"Hemp","...",815,46,-4349
Gathering Spot,"Sky","...",1371,93,-4485
Gathering Spot,"Sky","...",1289,123,-4719
Gathering Spot,"Oak","...",1476,84,-4451
Gathering Spot,"Sky","...",1048,160,-4670
Gathering Spot,"Sky","...",1237,177,-4850
Gathering Spot,"Sky","...",1414,92,-4487
Gathering Spot,"Sky","...",1085,187,-4540
Other,"The Warehouse","§9The Warehouse",1480,88,-4432
