Gathering Spot, Barley, ..., 902, 57, -2901
Gathering Spot, Jungle, ..., -1906, 48, -4234
Gathering Spot, Jungle, ..., -685, 77, -3114
NPC, Old Siwel, ..., 833, 52, -4010
Gathering Spot, Wheat, ..., 477, 45, -2935
Gathering Spot, Oak, ..., 466, 40, -2941
Gathering Spot, Icefish, ..., 1038, 29, -3518
NPC, Olivin, ..., 112, 67, -3173
Gathering Spot, Jungle, ..., -663, 78, -3073
NPC, Hook Merchant, Merchant, -643, 41, -3178
Gathering Spot, Dark, ..., 809, 36, -3876
Other, Craftmas Island Bank, §2Craftmas Island Bank, 1140, 41, -3110
Service, Armouring Station, ..., 132, 68, -3167
Gathering Spot, Diamond, ..., 1006, 46, -4053
NPC, Nohno, ..., -83, 45, -2497
Gathering Spot, Barley, ..., 935, 77, -2877
Other, Pirate Cove Bank, §2Pirate Cove Bank, -705, 39, -3084
Other, Zhight Gift Shop, §aZhight Gift Shop, -579, 40, -2786
Gathering Spot, Barley, ..., -318, 42, -2486
ServiceNPC, Emerald Merchant, ..., -1168, 66, -2404
Gathering Spot, Dark, ..., 826, 36, -3956
Service, Boat Fast Travel, ..., -1075, 37, -3787
NPC, Phief, ..., 884, 46, -2881
Service, Scribing Station, ..., 1321, 37, -4087
Gathering Spot, Jungle, ..., -635, 78, -3124
Gathering Spot, Wheat, ..., 476, 45, -2931
ServiceNPC, Emerald Merchant, ..., 784, 60, -3326
Gathering Spot, Icefish, ..., 1059, 31, -3125
Gathering Spot, Jungle, ..., -676, 74, -3045
BROKEN, Gathering Spot, null, -776, 37, -3632
Gathering Spot, Dark, ..., 829, 36, -3929
Gathering Spot, Birch, ..., 954, 67, -2923
BROKEN, Gathering Spot, null, 479, 45, -2927
Other, Pirate Cove Bank, §2Pirate Cove Bank, -708, 39, -3104
NPC, Legendary Attendant, ..., -1114, 67, -2414
BROKEN, Gathering Spot, null, 854, 47, -2880
Gathering Spot, Oat, ..., -79, 48, -2500
ServiceNPC, Potion Merchant, ..., -611, 54, -3063
Gathering Spot, Jungle, ..., -615, 78, -3091
NPC, Seaskipper Captain, Utility, -52, 36, -2520
NPC, Seaskipper Captain, Utility, -518, 36, -2679
Gathering Spot, Malt, ..., 375, 40, -2813
Other, Selchar Bank, §2Selchar Bank, 85, 69, -3203
NPC, Legendary Attendant, ..., -1079, 66, -2420
Gathering Spot, Dark, ..., 939, 52, -3972
Gathering Spot, Salmon, ..., 145, 65, -3218
Miniquest, Slaying, 70, 762, 38, -3890
Gathering Spot, Jungle, ..., -639, 78, -3056
Gathering Spot, Barley, ..., 554, 40, -2958
Gathering Spot, Birch, ..., 154, 65, -3216
Booth Shop, ..., ..., 466, 44, -2911
Gathering Spot, Jungle, ..., -538, 44, -3405
Gathering Spot, Jungle, ..., -619, 75, -3048
Other, WynnExcavation Site C HQ, §cWynnExcavation Site C HQ, -1058, 44, -3732
Gathering Spot, Jungle, ..., -658, 78, -3067
Gathering Spot, Jungle, ..., 1297, 37, -4104
Other, Santa's House, §cS§aa§cn§at§ca§a'§cs §aH§co§au§cs§ae, 1150, 44, -3111
ServiceNPC, Powder Master, ..., -654, 53, -3070
NPC, Tom, ..., 164, 64, -3226
Gathering Spot, Jungle, ..., 1309, 39, -3740
Service, Boat Fast Travel, ..., -45, 37, -2519
ServiceNPC, Armour Merchant, ..., 994, 39, -3478
Gathering Spot, Spruce, ..., 996, 64, -3455
Gathering Spot, Dark, ..., 865, 37, -3941
NPC, Treasure Merchant, Merchant, 107, 66, -3158
ServiceNPC, Weapon Merchant, ..., 783, 60, -3334
Other, Pirate Cove Bank, §2Pirate Cove Bank, -678, 53, -3084
Other, Pirate Cove Bank, §2Pirate Cove Bank, -646, 53, -3076
Gathering Spot, Oat, ..., -81, 48, -2504
Gathering Spot, Jungle, ..., -666, 78, -3076
Service, Alchemism Station, ..., 100, 69, -3155
Gathering Spot, Birch, ..., 158, 65, -3220
Booth Shop, ..., ..., 872, 46, -2868
NPC, Damiral, ..., -1938, 38, -4260
NPC, Accessory Merchant, Merchant, 7960, 26, 5116
Other, Cook Bookage 101, §rCook Bookage 101, 979, 40, -3496
Other, Excavator Placardus, §2Excavator Placardus, -1067, 45, -3740
BROKEN, Gathering Spot, null, -986, 43, -3801
Gathering Spot, Jungle, ..., 1079, 43, -4100
NPC, Golden Fish Merchant, Merchant, -689, 39, -3068
Territory Post, Dead Island South East, ..., 890, 51, -3899
Gathering Spot, Birch, ..., 904, 58, -2889
Gathering Spot, Icefish, ..., 1118, 29, -3086
Gathering Spot, Jungle, ..., 1273, 37, -4128
Gathering Spot, Dark, ..., 830, 36, -3957
Gathering Spot, Birch, ..., 151, 65, -3220
Other, Zhight Exchange, §aZhight Exchange, -576, 40, -2787
Gathering Spot, Dark, ..., 975, 50, -3972
Territory Post, Volcano Lower, ..., -1023, 43, -3657
Gathering Spot, Piranha, ..., -644, 35, -3105
Gathering Spot, Barley, ..., 572, 43, -2954
NPC, Argus, ..., -659, 44, -3154
Gathering Spot, Jungle, ..., -615, 78, -3069
Gathering Spot, Dark, ..., 790, 36, -3908
Gathering Spot, Birch, ..., 875, 42, -2841
ServiceNPC, Emerald Merchant, ..., -717, 40, -3089
Gathering Spot, Wheat, ..., 459, 45, -2929
Gathering Spot, Iron, ..., 813, 93, -3365
Gathering Spot, Icefish, ..., 1037, 30, -3520
Other, Captain's Room, §c§lCaptain's Room, 731, 33, -3775
ServiceNPC, Blacksmith, ..., -683, 37, -3163
ServiceNPC, Blacksmith, ..., 1123, 41, -3121
Gathering Spot, Birch, ..., 919, 70, -2826
Territory Post, Lighthouse Plateau, ..., -1526, 78, -2231
ServiceNPC, Item Identifier, ..., -675, 38, -3048
Gathering Spot, Acacia, ..., 469, 54, -3583
NPC, Seaskipper Captain, Utility, 772, 34, -3864
Gathering Spot, Malt, ..., 365, 41, -2836
Gathering Spot, Oat, ..., -74, 45, -2511
