Gathering Spot, Oak, ..., -2026, 31, -4355
Service, Weaponsmithing Station, ..., -1406, 45, -4711
Gathering Spot, Light, ..., -1391, 43, -4621
Gathering Spot, Oak, ..., -2125, 47, -4830
Gathering Spot, Oak, ..., -1635, 55, -4876
Gathering Spot, Dark, ..., -1373, 50, -5151
Gathering Spot, Decay Roots, ..., -1107, 46, -5364
Service, Tailoring Station, ..., -1751, 68, -5493
Gathering Spot, Oak, ..., -1588, 52, -5028
Territory Post, Thanos, ..., 193, 8, -5242
Gathering Spot, Oak, ..., -1925, 54, -5012
Gathering Spot, Dark, ..., -769, 50, -5402
Gathering Spot, Gudgeon, ..., -1511, 47, -5237
ServiceNPC, Powder Master, ..., -1000, 44, -5311
Other, [Lv. 80] Area, §4§lDANGER!, -656, 10, -5316
Territory Post, Forgotten Path, ..., -1587, 53, -4989
Gathering Spot, Oak, ..., -1746, 104, -4440
Gathering Spot, Oak, ..., -1579, 51, -4933
ServiceNPC, Emerald Merchant, ..., -2030, 77, -4428
Gathering Spot, Oak, ..., -2132, 95, -4542
Gathering Spot, Pine, ..., 236, 95, -5320
ServiceNPC, Dungeon Scroll Merchant, ..., -1005, 47, -5323
Gathering Spot, Dark, ..., -938, 50, -5267
Gathering Spot, Dark, ..., -1403, 48, -5118
Gathering Spot, Oak, ..., -1980, 48, -4832
Gathering Spot, Willow, ..., -1797, 54, -5283
NPC, Explorer, ..., -1139, 44, -5490
Service, Jeweling Station, ..., -437, 49, -4947
Territory Post, Fungal Grove, ..., -532, 50, -5341
Gathering Spot, Willow, ..., -1749, 57, -5266
Service, Woodworking Station, ..., -1717, 68, -5541
Gathering Spot, Decay Roots, ..., -1101, 45, -5374
Gathering Spot, Pine, ..., 361, 79, -5081
Gathering Spot, Oak, ..., -2058, 46, -4741
Gathering Spot, Willow, ..., -2091, 57, -5050
Territory Post, Efilim East Plains, ..., -958, 50, -4977
Miniquest, Farming, 58, -1903, 59, -5278
Gathering Spot, Oak, ..., -164, 93, -4493
Gathering Spot, Light, ..., -762, 44, -4886
Territory Post, Orc Battlegrounds, ..., -1350, 52, -4883
NPC, Damiral, ..., -1938, 39, -4260
Gathering Spot, Salmon, ..., -1781, 56, -5220
Gathering Spot, Dark, ..., -1119, 48, -5197
Gathering Spot, Hops, ..., -1945, 52, -4834
Gathering Spot, Dark, ..., -1014, 52, -5209
Gathering Spot, Willow, ..., -1960, 59, -5389
Other, Mashed Insect, §7Mashed Insect, -1872, 55, -5368
Gathering Spot, Oak, ..., -1965, 45, -4783
Gathering Spot, Oak, ..., -1940, 42, -4387
Gathering Spot, Oak, ..., -1923, 54, -5010
Gathering Spot, Oak, ..., -1975, 54, -4991
