Other,"Corkus City Bank","§2Corkus City Bank",-1574,74,-2904
Other,"Find a party or queue for a raid","§dParty Finder",-1601,71,-2920
Other,"Corkus City Bank","§2Corkus City Bank",-1601,74,-2896
ServiceNPC,"Emerald Merchant","...",-1593,74,-2889
NPC,"Hot Air Balloon Captain","...",-1571,103,-2915
Gathering Spot,"Sky","...",765,147,-4457
Gathering Spot,"Sky","...",767,144,-4468
ServiceNPC,"Item Identifier","...",747,166,-4424
Other,"Ancient Scripture","§2§fAncient Scripture",712,156,-4507
Gathering Spot,"Sky","...",794,156,-4383
ServiceNPC,"Potion Merchant","...",-1637,74,-2946
Service,"Cooking Station","...",755,166,-4451
Other,"Corkus City Bank","§2Corkus City Bank",-1593,73,-2915
Other,"The Canyon Colossus","§dParty Finder",713,46,-4442
NPC,"General Elix","...",757,165,-4466
Gathering Spot,"Avo","...",-1593,69,-2963
Service,"Cooking Station","...",-1582,70,-2953
Other,"Raid Keeper","§dRaid Keeper",721,45,-4452
ServiceNPC,"Blacksmith","...",755,164,-4433
NPC,"Corkus Citizen","Citizen",-1597,75,-2903
Other,"Corkus City Bank","§2Corkus City Bank",-1596,69,-2911
ServiceNPC,"Scroll Merchant","...",-1632,69,-2910
ServiceNPC,"Powder Master","...",752,166,-4448
NPC,"Crystal Merchant","Merchant",712,43,-4456
Service,"Scribing Station","...",737,166,-4414
Service,"Housing Balloon","...",-1612,69,-2944
Service,"Jeweling Station","...",-1586,70,-2985
Service,"Jeweling Station","...",747,166,-4416
ServiceNPC,"Item Identifier","...",-1593,70,-2943
Gathering Spot,"Avo","...",-1589,69,-2969
Service,"Tailoring Station","...",-1608,70,-2978
ServiceNPC,"Emerald Merchant","...",-1585,74,-2893
Gathering Spot,"Sky","...",760,148,-4449
NPC,"Corkus Guard","...",-1516,84,-2926
Other,"Corkus City Bank","§2Corkus City Bank",-1612,74,-2904
NPC,"Corkus Citizen","Citizen",-1606,69,-2885
ServiceNPC,"Emerald Merchant","...",-1587,74,-2889
Gathering Spot,"Avo","...",-1593,69,-2973
Service,"Armouring Station","...",758,166,-4435
NPC,"Corkian Security Overseer","...",-1504,109,-2881
Other,"Security Bot N4T17","§2Security Bot N4T17",-1571,69,-2876
ServiceNPC,"Emerald Merchant","...",-1598,74,-2889
Other,"Corkus City Bank","§2Corkus City Bank",-1612,70,-2907
ServiceNPC,"Scroll Merchant","...",737,164,-4417
Service,"Scribing Station","...",-1577,70,-2979
NPC,"Corkus Citizen","Citizen",-1586,70,-2955
Service,"Alchemism Station","...",744,167,-4443
Other,"Kandon-Beda Bank","§2Kandon-Beda Bank",745,166,-4432
ServiceNPC,"Weapon Merchant","...",-1626,70,-2970
ServiceNPC,"Emerald Merchant","...",740,164,-4438
Gathering Spot,"Sky","...",758,148,-4447
Gathering Spot,"Sky","...",753,149,-4416
Service,"Weaponsmithing Station","...",760,166,-4440
NPC,"Corkian Jeweler","...",-1593,70,-2986
Service,"Woodworking Station","...",753,166,-4427
Service,"Tailoring Station","...",737,166,-4431
Other,"Corkus City Bank","§2Corkus City Bank",-1585,74,-2896
ServiceNPC,"Liquid Merchant","...",-1593,69,-2904
Service,"Woodworking Station","...",-1600,70,-2983
Other,"Corkus City Bank","§2Corkus City Bank",-1574,70,-2907
NPC,"Hot Air Balloon Captain","...",254,147,-3301
Gathering Spot,"Starfish","...",768,136,-4375
Service,"Alchemism Station","...",-1574,71,-2960
NPC,"Stone Tablet","...",716,158,-4499
ServiceNPC,"Potion Merchant","...",743,164,-4447
Service,"Trade Market","...",-1624,71,-2933
Territory Post,"Corkus City","...",-1610,71,-2936
Service,"Armouring Station","...",-1608,70,-2959
ServiceNPC,"Emerald Merchant","...",-1601,74,-2893
Other,"Go back","§c§lGo back",-1515,25,-2935
ServiceNPC,"Blacksmith","...",-1604,71,-2915
Gathering Spot,"Sky","...",763,147,-4455
Other,"Corkus City Bank","§2Corkus City Bank",-1593,77,-2892
Gathering Spot,"Sky","...",793,156,-4387
Other,"Corkus City Bank","§2Corkus City Bank",-1612,70,-2901
Booth Shop,"...","...",742,151,-4469
Gathering Spot,"Starfish","...",764,136,-4376
NPC,"Hot Air Balloon Captain","...",768,163,-4378
Other,"Corkus City Bank","§2Corkus City Bank",-1590,69,-2911
Other,"Corkus City Bank","§2Corkus City Bank",-1574,70,-2901
Service,"Weaponsmithing Station","...",-1602,70,-2955
