level,type,name
1,secret,A Hero's Origin
1,secret,Far From the Roots
1,secret,Ragni's Secret Library
1,secret,Watchmen
5,secret,Bak'al's Destruction 1
5,secret,Bak'al's Destruction 2
5,secret,Bak'al's Destruction 3
5,secret,Boulder Breaker
5,secret,Historical Maltic
5,secret,Ruins of Detlas
5,secret,Water of the Past
10,secret,Beneath the Roots
10,secret,Somewhere In Between
10,secret,Timeless Ruin
15,secret,Crate Crane
20,secret,Mining Operation
20,secret,Wynn Plains Monument
25,secret,Boulder Pit
25,secret,Quicksand
25,secret,Temple Ruin
25,secret,Temple of Swords
30,secret,Desert Royal Residence
30,secret,Rymek Thief
30,secret,Totem Pole
30,secret,Wrecking Ball
35,secret,Abandoned Excavations
35,secret,At the Edge of Decay
35,secret,Explorer's Corruption Study
35,secret,Frozen Cave Hideout
35,secret,Llevigar's Secret Library
35,secret,Spider Ruins
35,secret,Unstable Experiments
35,secret,Wolf Temple
40,secret,A Deathly Warning
40,secret,Llevigar's Last Hope
40,secret,Lusuco's Secret Library
40,secret,Nilrem's Sealed Letter
40,secret,Pottery Wheel
40,secret,Teachings of Old
40,secret,The Lone Telescope
40,secret,The Twains' Downfall
40,secret,Torn in Twain
45,secret,Decaying Mountains
45,secret,Empty Vaults
45,secret,Harmless Worms
45,secret,Lost Farmers
45,secret,Shadowy Dealings
45,secret,Shrouded Lives
45,secret,The Bane of Gavel
55,secret,Parasite Cocoon
60,secret,A Dividing Force
60,secret,Summoner's Fate
64,secret,"Headless, Not Homeless"
65,secret,Birth of Efilim
65,secret,Fracture in Reality
65,secret,Hallowed Ground
65,secret,Light Mushrooms
65,secret,Sealed Away
65,secret,Temple of Light
70,secret,Gavel Excavation
70,secret,Gylia Watch Library
70,secret,Gylia's Cataclysm
70,secret,Mark of the Meteors
70,secret,Messengers From Beyond
70,secret,Ne du Valeos du Ellach
70,secret,The Ancient Ones
70,secret,The Grand Archive
70,secret,The Great Barrier
70,secret,The Heart of the Decay
70,secret,The Talor Crypt
70,secret,Ways of the Wicked
80,secret,Canyon Housing
80,secret,Cosmic Crystals
80,secret,Cracked Canyon
80,secret,Loot of the Lost
80,secret,Relos' Secret Library
80,secret,Thanos Armory
80,secret,The Broken Protector
85,secret,Chained Goliaths
85,secret,Cultural Artefact
85,secret,Lost Avos City
85,secret,Maex Black Market
85,secret,Sealed in Ice
85,secret,Subterranean Creation
85,secret,The Doguns' Defeat
85,secret,Tomb of the Founders
90,secret,Ahmsord's Origins
90,secret,Colossal Ruins
90,secret,Desolate Temples
90,secret,Far Above the Clouds
90,secret,Necklace Chamber
90,secret,Otherworldly Origins
90,secret,Rulers of the Skies
95,secret,The Fallen Protector
95,secret,The Lonely Abyss
100,secret,A Monument of Hope
100,secret,A Wynnic Excavation
100,secret,Fate of the Olm
100,secret,Mining Cessation
100,secret,Otherworldly Occurrence
100,secret,Silent Expanse's Secret
100,secret,Space Between Realities
100,secret,The Final Moments
100,secret,The Forest has Eyes
100,secret,Toxic Bounce
