"name","level","length","experience","emeralds","access ","items","starter-mission","province","starter-npc","npc-1","npc-2","npc-3","npc-4","npc-5","npc-6","npc-7"
"King's Recruit",1,"long",35,6,"the <Province of Wynn>","<Ragni Teleport Scroll>",,"Fruma","Caravan Driver","Aledar","Tasim","Ragni's King",,,,
"Enzan's Brother",1,"short",80,,,"<Therck's Chain>, 2 <Copper Ingot>, <Oak Wood>, <Wheat>","Talk to Enzan close to the exit of Ragni at [-772,67,-1572]","Wynn","Enzan","Therck",,,,,,
"Poisoning the Pest",2,"medium",145,25,"<Farmer Cevalus's Farm>",,"Talk to Farmer Cevalus at [-749,67,-1664]","Wynn","Farmer Cevalus",,,,,,,
"Cook Assistant",4,"short",200,28,,"<Royal Cake Slice>","Talk to the Cook in Ragni at [-853,67,-1564]","Wynn","The Cook",,,,,,,
"The Sewers of Ragni",5,"medium",500,,"the <Decrepit Sewers Dungeon>","<Decrepit Sewers Dungeon Key>, <Thoracic>","The lieutenant at [-890,60,-1874] needs help.","Wynn","Jenprest",,,,,,,
"Tunnel Trouble",5,"long",300,55,"<fast travel between Ragni and Detlas>.",,"Talk to Captain Fenor in front of Detlas at [379,67,-1569].","Wynn","Captain Fenor","Drale",,,,,,
"Infested Plants",6,"short",270,5,,"<Cleaned Saccharum>","Talk to Ope at [-316,72,-1600].","Wynn","Ope",,,,,,,
"Underwater",8,"medium",550,32,,"<Breathing Helmet>, <Treasure Boots>, <Old Treasure>","Talk to Omango located at the North of Maltic at [-540,34,-2020]","Wynn","Omango","Sayrr",,,,,,
"Elemental Exercise",10,"medium",850,64,,"<Vibrant Augment>, <Ragon's Bracelet>","Talk to Ragon on the south-east end of the Nivla Forest at [-80,67,-1391]","Wynn","Ragon",,,,,,,
"Mushroom Man",12,"medium",1000,128,,"<Yahya's Stained Bowl>","Talk to Yahya ""The Mushroom Man"" in Nivla's Forest at [-277,69,-1681]","Wynn","Yahya",,,,,,,
"Arachnids' Ascent",14,"medium",850,,"the <Infested Pit Dungeon>","<Infested Pit Dungeon Key>","Speak to Captain Enduyn at [-192,44,-1822]","Wynn","Captain Enduyn",,,,,,,
"Creeper Infiltration",14,"medium",1400,64,,"<Creeper Mask>","Talk to Thomas in the Pigman Ravines at [-608,89,-1431]","Wynn","Thomas",,,,,,,
"Deja Vu",14,"medium",1300,28,,"<Familiar Essence>","Talk to Asher near Time Valley at [-449,72,-1153].","Wynn","Asher",,,,,,,
"Potion Making",15,"medium",1600,,,"<Essren's Coat>, <Weakening Catalyst>","Talk to The Assistant on the Black Road at [617,67,-1612]","Wynn","The Assistant",,,,,,,
"Maltic's Well",18,"short",2000,,,"<Maltic's Recommendation Letter>","Talk to Rynend located in Maltic at [-568,48,-1922]","Wynn","Rynend",,,,,,,
"Grave Digger",20,"medium",3300,128,"the <Saint's Row Graveyard>","<Sayleros' Brother's Ashes>","Talk to Sayleros in Detlas at [476,69,-1624]","Wynn","Sayleros","Drucksh","The Priest",,,,,
"Macabre Masquerade ''Hallowynn 2014''",21,"short",10000,192,,,"Find the Mask Salesman at his caravan at [-328,61,-1973]","Wynn","Mask Salesman",,,,,,,
"Studying the Corrupt",21,"medium",3600,,"the <Lost Sanctuary Dungeon>","<Lost Sanctuary Dungeon Key>","Something is going on at the big bridge near Time Valley. Go over there and see what's happening. [-258,80,-1046]","Wynn","Pottur",,,,,,,
"Cluck Cluck",23,"short",2800,,,"<Cluckles' Favourite Feather>","Talk to Nohno on Rooster Island at [-83,45,-2497]","Ocean","Nohno",,,,,,,
"Pit of the Dead",23,"short",2675,,,"<Skeletal Legs>","Talk to Merloni at [343,59,-1915]","Wynn","Merloni",,,,,,,
"Dwelling Walls",24,"medium",3650,128,,,"Talk to Leucsaa at [201,38,-2173]","Wynn","Leucsaa",,,,,,,
"The Dark Descent",24,"long",2400,,"the <Underworld Crypt Dungeon>","<Underworld Crypt Dungeon Key>, <Dark Diadem>","Talk to General Graken at [227,45,-1958]","Wynn","General Graken",,,,,,,
"Recover the Past",25,"long",6000,,,"<Reset Scroll>, <Shattered Memory Shard>","Talk to Dr. Picard at [103, 90, -1200].","Wynn","Dr. Picard",,,,,,,
"Lost Tower",26,"short",6500,64,,,"Talk to Laen in Nemract at [24,37,-2199]","Wynn","Laen",,,,,,,
"The Corrupted Village",26,"long",4800,136,,"<Corrupted Potato>","Speak to Orikal outside the Angry Village at [318,78,-1097].","Wynn","Orikal",,,,,,,
"Misadventure on the Sea",28,"long",8500,,,"4 <Nemract Boat Passes>, 4 <Selchar Boat Passes>","Visit the Nemract bar at [114,40,-2176]","Wynn","Barman",,,,,,,
"The Mercenary",28,"medium",10000,384,,"<Vindicator>","Talk to Mylo in Nemract at [184,54,-2141]","Wynn","Mylo","Amerigo",,,,,,
"Craftmas Chaos",30,"long",12000,640,,,"Talk to Tom in Selchar at [164,64,-3226]","Ocean","Tom",,,,,,,
"Green Gloop",31,"medium",9500,192,"the <Glassblowing Merchant>",,"Talk to Eluzterp at [1172,77,-2027]","Wynn","Eluzterp","Yodbon",,,,,,
"A Sandy Scandal",32,"long",22000,128,"the <Almuj Bank>",,"Talk to the Almuj Bank Guard at [976,83,-1963]","Wynn","Almuj Bank Guard",,,,,,,
"Kingdom of Sand",33,"long",10000,192,"the <Sand-Swept Tomb Dungeon>","<Sand-Swept Tomb Key>","Find out what's going on at the Sand Swept Tomb","Wynn","Lanu",,,,,,,
"Meaningful Holiday",33,"long",15000,128,,,"Talk to Haily in Almuj at [929,75,-1899]","Wynn","Haily",,,,,,,
"Stable Story",34,"short",9000,,"<Ternaves' Horse Shop>","<Brown Horse>","Talk to Enkser in Ternaves at [828,69,-1636]","Wynn","Enkser",,,,,,,
"Tribal Aggression",35,"medium",24000,,,"42 <Gold Ingot>","Talk to Caras at [1077, 84, -1613]","Wynn","Caras","Favian",,,,,,
